pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
FF,2026-09-23,92.3,1.87,6.15,"Matsui, Yuki",518692,673513,,swinging_strike,,,,,7.0,,R,L,L,LAD,SD,S,,,1,0,2026,0.51,1.49,-0.3174838789020202,1.869339193936039,,,669257.0,0,5,Bot,,,,,,,-6.541229471542445,-134.11458580906478,-7.993141084329726,7.592469240545816,30.76344053529913,-12.648046250068033,3.382365486,1.706988189,,,,91.1,2465.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.73,,,,,,,,45,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,150.0,-0.009,-0.052,72.8,7.3,,,0.052,,-3,-3,0.244,0.244,30,36,31,37,1,2,,,,,1.21,0.51,0.51,,7.478537139328346,6.949371626562443,45.57635042244405,45.48282133206424,17.8980252036887,Four-seam,False
FF,2026-09-23,92.3,2.09,6.14,"Matsui, Yuki",518692,673513,,ball,,,,,12.0,,R,L,L,LAD,SD,B,,,0,0,2026,0.51,1.42,1.1078862905165072,2.835678174387029,,,669257.0,0,5,Bot,,,,,,,-3.5430033388340223,-134.2292391883951,-5.429429011752476,6.9560635767079475,30.258229819740983,-14.05265040957886,3.382365486,1.706988189,,,,91.0,2419.0,5.6,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.89,,,,,,,,45,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,156.0,0.007,0.037,,,,,-0.037,,-3,-3,0.237,0.237,30,36,31,37,1,2,,,,,1.27,0.51,0.51,,,,,,,Four-seam,False
FF,2026-09-23,92.8,2.22,6.19,"Matsui, Yuki",669257,673513,walk,ball,,,,,12.0,Will Smith walks.,R,R,L,LAD,SD,B,,,3,2,2026,0.56,1.51,1.0056443665779533,4.045647033391943,,,,0,5,Bot,,,,,,,-4.270225912376706,-135.0101027552277,-2.831495632907857,7.846214913866767,30.644229554492966,-13.388950289844766,3.137508202,1.583415354,,,,91.5,2486.0,5.6,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.87,,0.698418,0.7,1.0,0.0,0.0,,44,8,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,153.0,0.038,0.36,,,,,-0.36,,-3,-3,0.199,0.199,30,31,31,31,1,2,,,,,1.15,0.56,-0.56,,,,,,,Four-seam,True
FS,2026-09-23,84.5,2.11,6.14,"Matsui, Yuki",669257,673513,,ball,,,,,14.0,,R,R,L,LAD,SD,B,,,2,2,2026,0.79,0.35,1.1287385384420414,1.155670975268237,,,,0,5,Bot,,,,,,,-3.8183755376902657,-122.9759812455083,-5.716556955724817,8.802531759157581,22.35375282546554,-27.70616600958742,3.137508202,1.583415354,,,,84.1,1164.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.68,,,,,,,,44,7,Split-Finger,1,4,1,4,4,1,1,4,Strategic,Standard,131.0,0.011,0.113,,,,,-0.113,,-3,-3,0.188,0.188,30,31,31,31,1,2,,,,,2.82,0.79,-0.79,,,,,,,Splitter,False
SL,2026-09-23,83.6,1.75,6.18,"Matsui, Yuki",669257,673513,,foul,,,,,6.0,,R,R,L,LAD,SD,S,,,2,2,2026,-0.64,-0.18,0.4623002961988419,2.149335628935603,,,,0,5,Bot,,,,,,,-1.630924315250751,-121.9595633481064,-2.4241758713603097,-6.281725270615969,18.86995597251736,-33.78111212356233,3.137508202,1.583415354,235.0,81.3,36.0,83.4,2850.0,5.6,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.92,,,,,,,,44,6,Slider,1,4,1,4,4,1,1,4,Standard,Standard,292.0,0.0,0.0,69.3,6.5,,,0.0,88.0,-3,-3,0.188,0.188,30,31,31,31,1,2,,,,,3.37,-0.64,0.64,,-4.6540436847439155,23.630997579377784,38.13374302542588,38.63184465873681,19.00746063280317,Slider,False
FF,2026-09-23,92.8,2.14,6.18,"Matsui, Yuki",669257,673513,,foul,,,,,6.0,,R,R,L,LAD,SD,S,,,2,2,2026,0.48,1.58,0.6188850762644412,2.613188103192063,,,,0,5,Bot,,,,,,,-4.855050129924802,-135.0235019761501,-6.556696792565896,6.97584543223453,30.08191051275389,-11.64262445436948,3.137508202,1.583415354,188.0,78.7,17.0,91.8,2546.0,5.7,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.78,,,,,,,,44,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,154.0,0.0,0.0,69.7,7.3,,,0.0,88.0,-3,-3,0.188,0.188,30,31,31,31,1,2,,,,,1.07,0.48,-0.48,,12.821021143397124,16.940605737859293,34.41114796593975,41.68447575738186,23.101602659950775,Four-seam,False
FS,2026-09-23,83.7,2.17,6.11,"Matsui, Yuki",669257,673513,,ball,,,,,14.0,,R,R,L,LAD,SD,B,,,1,2,2026,0.81,0.05,0.5194051451967168,0.34886627929458,,,,0,5,Bot,,,,,,,-5.32915323201695,-121.68194235042718,-6.678115918512605,9.066187285771267,22.29672458288929,-30.60709753129481,3.137508202,1.583415354,,,,83.2,1289.0,5.9,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.61,,,,,,,,44,4,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,127.0,0.004,0.046,,,,,-0.046,,-3,-3,0.184,0.184,30,31,31,31,1,2,,,,,3.19,0.81,-0.81,,,,,,,Splitter,False
FS,2026-09-23,83.7,1.89,6.24,"Matsui, Yuki",669257,673513,,swinging_strike,,,,,14.0,,R,R,L,LAD,SD,S,,,1,1,2026,0.59,0.12,0.7891616278330476,1.36992465877519,,,,0,5,Bot,,,,,,,-3.6549084111564376,-121.92174224808883,-4.803341581437111,6.562252172562703,23.014708086994908,-30.288190844179116,3.137508202,1.583415354,,,,83.2,1146.0,5.8,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.66,,,,,,,,44,3,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,126.0,-0.007,-0.06,71.4,8.6,,,0.06,,-3,-3,0.191,0.191,30,31,31,31,1,2,,,,,3.12,0.59,-0.59,,25.079289896113416,-16.14770840247475,36.99082895979801,43.77379330768983,39.88293912163879,Splitter,False
SL,2026-09-23,82.8,1.97,6.16,"Matsui, Yuki",669257,673513,,called_strike,,,,,12.0,,R,R,L,LAD,SD,S,,,1,0,2026,-0.51,-0.26,0.9344949619505936,2.6394358575876904,,,,0,5,Bot,,,,,,,-1.3077961896866086,-120.70013714856609,-0.910595454817096,-4.761460205213298,21.249292788993063,-34.7691126885949,3.137508202,1.583415354,,,,82.3,2859.0,5.7,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.83,,,,,,,,44,2,Slider,1,4,1,4,4,1,1,4,Standard,Standard,276.0,-0.006,-0.055,,,,,0.055,,-3,-3,0.197,0.197,30,31,31,31,1,2,,,,,3.55,-0.51,0.51,,,,,,,Slider,False
FF,2026-09-23,91.8,1.88,6.15,"Matsui, Yuki",669257,673513,,ball,,,,,13.0,,R,R,L,LAD,SD,B,,,0,0,2026,0.65,1.55,-0.5098372868763617,1.428889550489269,,,,0,5,Bot,,,,,,,-7.312477095201218,-133.2194451603736,-9.172963238356957,9.25124235383846,27.920138197918885,-11.847284675196432,3.137508202,1.583415354,,,,91.1,2466.0,6.0,823894,806956,664034,630105,592518,593428,687957,701538,665487,54.55,,,,,,,,44,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,151.0,0.005,0.042,,,,,-0.042,,-3,-3,0.192,0.192,30,31,31,31,1,2,,,,,1.16,0.65,-0.65,,,,,,,Four-seam,False
SL,2026-09-19,85.4,2.18,6.06,"Matsui, Yuki",805300,673513,single,hit_into_play,,,,,5.0,Jakob Marsee singles on a ground ball to right fielder Dustin Harris. Xavier Edwards to 3rd.,R,L,L,SD,MIA,X,9.0,ground_ball,3,2,2026,-0.49,0.6,-0.0722070847923289,2.1890157937411105,,,669364.0,2,7,Top,181.2,118.74,,,,,-4.179494369749415,-124.30596288403136,-3.7367049018263705,-4.139292957134513,27.11335189963058,-25.43899132003234,3.212106299,1.621062992,67.0,99.7,2.0,84.2,2610.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.8,0.469,0.432,0.9,1.0,1.0,0.0,4.0,66,6,Slider,6,5,5,6,5,6,5,6,Infield shade,Standard,169.0,-0.045,0.291,68.7,6.6,,0.524,-0.291,99.7,1,-1,0.737,0.263,30,25,31,25,1,3,2.0,1.0,,1.0,2.55,-0.49,-0.49,56.9,7.179648576591432,-5.517084306700808,31.801491703596035,35.920732125205504,34.971267121622816,Slider,True
FF,2026-09-19,91.1,1.95,6.13,"Matsui, Yuki",805300,673513,,ball,,,,,11.0,,R,L,L,SD,MIA,B,,,2,2,2026,0.07,1.47,-0.0898719778091415,3.51637785510405,,,669364.0,2,7,Top,,,,,,,-5.146512399409704,-132.487694321058,-3.610791015990125,2.0110927062727524,30.76296788658017,-14.350677865401147,3.212106299,1.621062992,,,,89.8,2539.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.8,,,,,,,,66,5,4-Seam Fastball,6,5,5,6,5,6,5,6,Infield shade,Standard,167.0,-0.013,0.081,,,,,-0.081,,1,-1,0.75,0.25,30,25,31,25,1,3,2.0,1.0,,1.0,1.3,0.07,0.07,58.5,,,,,,Four-seam,False
FS,2026-09-19,81.8,2.24,6.09,"Matsui, Yuki",805300,673513,,blocked_ball,,,,,14.0,,R,L,L,SD,MIA,B,,,1,2,2026,1.08,0.32,0.6169214814918325,-0.100459882260802,,,669364.0,2,7,Top,,,,,,,-5.6603093577023476,-118.76465340835828,-7.555631038141089,11.331577856965746,24.812416056070195,-27.756407601180214,3.212106299,1.621062992,,,,80.5,1551.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.78,,,,,,,,66,4,Split-Finger,6,5,5,6,5,6,5,6,Infield shade,Standard,122.0,-0.007,0.052,,,,,-0.052,,1,-1,0.757,0.243,30,25,31,25,1,3,2.0,1.0,,1.0,3.12,1.08,1.08,54.4,,,,,,Splitter,False
FF,2026-09-19,91.1,1.88,6.1,"Matsui, Yuki",805300,673513,,called_strike,,,,,6.0,,R,L,L,SD,MIA,S,,,1,1,2026,0.17,1.67,0.3485891299722279,2.125766769387753,,,669364.0,2,7,Top,,,,,,,-4.096545428334248,-132.28844474304378,-7.308469991491603,2.9451933559694052,32.53998998308083,-11.20327022454962,3.212106299,1.621062992,,,,89.4,2481.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.77,,,,,,,,66,3,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Standard,157.0,0.012,-0.069,,,,,0.069,,1,-1,0.745,0.255,30,25,31,25,1,3,2.0,1.0,,1.0,1.12,0.17,0.17,59.0,,,,,,Four-seam,False
SL,2026-09-19,83.5,1.96,6.02,"Matsui, Yuki",805300,673513,,called_strike,,,,,3.0,,R,L,L,SD,MIA,S,,,1,0,2026,-0.32,0.25,0.4452801762728632,2.8279638033406087,,,669364.0,2,7,Top,,,,,,,-2.747549675301809,-121.50488893600262,-1.1453756594014686,-2.605940237515348,25.6291973404219,-29.734920107231204,3.212106299,1.621062992,,,,82.2,2758.0,5.6,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.9,,,,,,,,66,2,Slider,6,5,5,6,5,6,5,6,Standard,Standard,250.0,0.006,-0.05,,,,,0.05,,1,-1,0.739,0.261,30,25,31,25,1,3,2.0,1.0,,1.0,3.04,-0.32,-0.32,54.1,,,,,,Slider,False
SL,2026-09-19,82.9,1.97,6.0,"Matsui, Yuki",805300,673513,,ball,,,,,13.0,,R,L,L,SD,MIA,B,,,0,0,2026,-0.31,0.11,-0.8554723023318409,0.8095228155411545,,,669364.0,2,7,Top,,,,,,,-5.6701767350766215,-120.50048236874008,-5.2264487049117365,-1.8989160245072436,24.55403370909081,-30.27914944321906,3.212106299,1.621062992,,,,81.6,2801.0,5.6,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.92,,,,,,,,66,1,Slider,6,5,5,6,5,6,5,6,Standard,Standard,262.0,-0.004,0.038,,,,,-0.038,,1,-1,0.743,0.257,30,25,31,25,1,3,2.0,1.0,,1.0,3.23,-0.31,-0.31,52.7,,,,,,Slider,False
FS,2026-09-19,83.1,2.14,5.96,"Matsui, Yuki",669364,673513,walk,ball,,,,,14.0,Xavier Edwards walks.,R,R,L,SD,MIA,B,,,3,2,2026,0.89,0.19,0.4457228185359594,0.8018064146413373,,,,2,7,Top,,,,,,,-5.540222822094787,-120.79715835946551,-5.3564208895237435,9.837556925772311,25.384541406908,-29.39096455832107,3.055011483,1.541781496,,,,82.0,1319.0,5.8,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.7,,0.698418,0.7,1.0,0.0,0.0,,65,7,Split-Finger,6,5,5,6,5,6,5,6,Standard,Standard,128.0,-0.021,0.289,,,,,-0.289,,1,-1,0.764,0.236,30,26,31,27,1,3,2.0,1.0,,,3.14,0.89,-0.89,52.4,,,,,,Splitter,True
FF,2026-09-19,91.2,2.19,6.08,"Matsui, Yuki",669364,673513,,foul,,,,,12.0,,R,R,L,SD,MIA,S,,,3,2,2026,0.39,1.92,0.8472257314413327,2.573312868575772,,,,2,7,Top,,,,,,,-4.1419965484916,-132.40343896926743,-6.664537389918539,5.652545280434224,35.88465508373966,-8.453891690684891,3.055011483,1.541781496,168.0,72.4,18.0,89.0,2436.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.79,,,,,,,,65,6,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Standard,154.0,0.0,0.0,67.1,6.8,,,0.0,88.0,1,-1,0.764,0.236,30,26,31,27,1,3,2.0,1.0,,,0.89,0.39,-0.39,52.5,-2.643389914886031,-7.19340683108979,22.59715034284207,39.967298036556606,33.8986371994894,Four-seam,False
FS,2026-09-19,82.8,2.28,5.95,"Matsui, Yuki",669364,673513,,ball,,,,,14.0,,R,R,L,SD,MIA,B,,,2,2,2026,0.74,0.31,1.7088358220067417,1.6035699194009625,,,,2,7,Top,,,,,,,-2.7159472880991555,-120.5396257583991,-3.772792757551535,7.706275377744738,24.337607750787463,-28.570299849052702,3.055011483,1.541781496,,,,82.1,1188.0,5.9,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.62,,,,,,,,65,5,Split-Finger,6,5,5,6,5,6,5,6,Standard,Standard,134.0,-0.007,0.082,,,,,-0.082,,1,-1,0.771,0.229,30,26,31,27,1,3,2.0,1.0,,,3.02,0.74,-0.74,53.7,,,,,,Splitter,False
SL,2026-09-19,84.3,1.96,6.02,"Matsui, Yuki",669364,673513,,ball,,,,,13.0,,R,R,L,SD,MIA,B,,,1,2,2026,-0.32,-0.02,-0.0549189578758999,-0.3463978624074082,,,,2,7,Top,,,,,,,-3.930776002615083,-122.57785007409576,-8.015655989056889,-2.5165814293140385,23.118189819872153,-31.081479964374576,3.055011483,1.541781496,,,,83.5,2790.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.8,,,,,,,,65,4,Slider,6,5,5,6,5,6,5,6,Standard,Standard,245.0,-0.003,0.041,,,,,-0.041,,1,-1,0.774,0.226,30,26,31,27,1,3,2.0,1.0,,,3.22,-0.32,0.32,53.3,,,,,,Slider,False
FS,2026-09-19,83.4,2.11,6.04,"Matsui, Yuki",669364,673513,,foul,,,,,6.0,,R,R,L,SD,MIA,S,,,1,1,2026,0.62,0.81,0.589193854309114,2.159700623471283,,,,2,7,Top,,,,,,,-4.620117590110298,-121.30343085994303,-3.774980002281356,7.023443400473381,25.69918783330275,-23.620186752609957,3.055011483,1.541781496,161.0,70.3,63.0,82.2,1311.0,5.7,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.83,,,,,,,,65,3,Split-Finger,6,5,5,6,5,6,5,6,Standard,Standard,126.0,0.005,-0.064,66.4,6.4,,,0.064,88.0,1,-1,0.769,0.231,30,26,31,27,1,3,2.0,1.0,,,2.49,0.62,-0.62,54.3,-0.7768419986256153,5.796384836355484,32.940244414296174,37.102327232778194,33.615629152539015,Splitter,False
