pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
ST,2026-09-14,83.0,1.78,5.58,"Hart, Kyle",664983,606996,triple,hit_into_play,,,,,5,Jake McCarthy triples (10) on a sharp fly ball to center fielder Jackson Merrill. Adael Amador scores. Ezequiel Tovar scores.,R,L,L,COL,SD,X,8.0,fly_ball,1,0,2026,-0.91,0.18,0.101327411915565,2.2434279771028725,,691182.0,678662.0,1,6,Bot,149.08,30.55,,,,,-1.9811412779541109,-120.95156757105708,-1.3894901401922697,-8.63905362370158,21.067676377485576,-30.369594083478844,3.228781168,1.629478347,419.0,102.7,27.0,83.1,2743.0,6.0,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.47,0.76,1.419,1.6,1.0,1.0,2.0,6.0,55,2,Sweeper,2,6,2,6,6,4,4,6,Standard,Standard,282.0,0.176,1.008,74.9,7.2,,2.712,-1.008,102.7,-4,-4,0.146,0.146,33,28,34,29,1,3,1.0,1.0,6.0,1.0,3.09,-0.91,-0.91,45.1,8.315387918148756,-3.91839553294557,30.884887435469206,37.629893467215425,30.68077181412576,Sweeper,True
SI,2026-09-14,94.1,1.44,5.53,"Hart, Kyle",664983,606996,,ball,,,,,14,,R,L,L,COL,SD,B,,,0,0,2026,1.27,0.53,0.3069408156653146,1.0318959795010552,,691182.0,678662.0,1,6,Bot,,,,,,,-5.777577320783891,-136.95164428477992,-7.005630305955574,17.22709836866532,25.61202489221147,-24.24328467445421,3.228781168,1.629478347,,,,95.0,2279.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.02,,,,,,,,55,1,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,135.0,0.007,0.04,,,,,-0.04,,-4,-4,0.139,0.139,33,28,34,29,1,3,1.0,1.0,6.0,1.0,2.01,1.27,1.27,38.7,,,,,,Sinker,False
FS,2026-09-14,84.6,1.18,5.73,"Hart, Kyle",678662,606996,walk,ball,,,,,13,Ezequiel Tovar walks. Adael Amador to 2nd.,R,R,L,COL,SD,B,,,3,2,2026,0.8,-0.29,-1.000444163789958,0.4192138814945396,,,691182.0,1,6,Bot,,,,,,,-6.679037055411069,-123.0501094066236,-5.284525760107134,9.395116528610872,21.42034184715393,-34.34600428511394,3.219127297,1.624606299,,,,85.4,1185.0,6.6,824308,666023,664034,630105,592518,593428,687957,701538,665487,53.93,,0.698418,0.7,1.0,0.0,0.0,,54,7,Split-Finger,2,6,2,6,6,2,2,6,Standard,Standard,100.0,0.033,0.268,,,,,-0.268,,-4,-4,0.106,0.106,33,24,34,25,1,2,1.0,2.0,6.0,2.0,3.44,0.8,-0.8,46.2,,,,,,Splitter,True
SI,2026-09-14,92.9,1.23,5.48,"Hart, Kyle",678662,606996,,ball,,,,,13,,R,R,L,COL,SD,B,,,2,2,2026,1.02,0.6,-0.9947386758821712,1.64006241414958,,,691182.0,1,6,Bot,,,,,,,-7.931403989489146,-135.23678144674136,-5.317943097145046,14.030195260074194,22.39894574853715,-23.92022619323368,3.219127297,1.624606299,,,,94.2,1970.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,53.98,,,,,,,,54,6,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,132.0,0.01,0.072,,,,,-0.072,,-4,-4,0.096,0.096,33,24,34,25,1,2,1.0,2.0,6.0,2.0,1.99,1.02,-1.02,41.0,,,,,,Sinker,False
FF,2026-09-14,94.0,1.23,5.66,"Hart, Kyle",678662,606996,,ball,,,,,12,,R,R,L,COL,SD,B,,,1,2,2026,0.68,1.01,0.9526624718826984,4.51960579694513,,,691182.0,1,6,Bot,,,,,,,-2.23079931285068,-137.117702942711,0.5140402191053608,9.0539641235284,26.239592837038895,-19.541913271456025,3.219127297,1.624606299,,,,94.9,2228.0,6.4,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.13,,,,,,,,54,5,4-Seam Fastball,2,6,2,6,6,2,2,6,Standard,Standard,132.0,0.004,0.052,,,,,-0.052,,-4,-4,0.092,0.092,33,24,34,25,1,2,1.0,2.0,6.0,2.0,1.53,0.68,-0.68,43.4,,,,,,Four-seam,False
FS,2026-09-14,85.7,1.43,5.61,"Hart, Kyle",678662,606996,,foul,,,,,8,,R,R,L,COL,SD,S,,,1,2,2026,0.47,-0.01,0.2184129459622721,1.9131760259200823,,,691182.0,1,6,Bot,,,,,,,-3.791394213110494,-124.90227945020494,-2.3230888298807164,5.580141524515434,21.898169994478543,-32.03620201767428,3.219127297,1.624606299,,,,86.7,1137.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,53.97,,,,,,,,54,4,Split-Finger,2,6,2,6,6,2,2,6,Standard,Standard,88.0,0.0,0.0,70.5,8.1,,,0.0,,-4,-4,0.092,0.092,33,24,34,25,1,2,1.0,2.0,6.0,2.0,3.07,0.47,-0.47,41.5,20.08060562488227,-16.776560747528283,30.30403076191041,34.61994841047979,35.99727840221611,Splitter,False
FS,2026-09-14,84.3,1.42,5.65,"Hart, Kyle",678662,606996,,foul,,,,,5,,R,R,L,COL,SD,S,,,1,1,2026,0.73,0.2,0.0999511615482329,2.2929054689793364,,,691182.0,1,6,Bot,,,,,,,-4.517086958299847,-122.79380537046312,-1.6955670405089096,8.275777003437769,22.035899093156583,-30.05957348900059,3.219127297,1.624606299,,,,85.0,1065.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.03,,,,,,,,54,3,Split-Finger,2,6,2,6,6,2,2,6,Standard,Standard,85.0,-0.007,-0.067,76.6,8.7,,,0.067,,-4,-4,0.099,0.099,33,24,34,25,1,2,1.0,2.0,6.0,2.0,2.98,0.73,-0.73,41.8,29.804278275218284,-28.0026842959997,32.87613559076179,34.60326863132922,43.43111480200997,Splitter,False
FS,2026-09-14,86.1,1.27,5.59,"Hart, Kyle",678662,606996,,blocked_ball,,,,,13,,R,R,L,COL,SD,B,,,0,1,2026,0.6,0.15,-0.3800198718853557,0.0792869174296826,,,691182.0,1,6,Bot,,,,,,,-5.1047508407022315,-125.27629463342215,-6.958688686013103,7.24386276644216,21.990654846992296,-29.556892518894117,3.219127297,1.624606299,,,,86.9,977.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,53.98,,,,,,,,54,2,Split-Finger,2,6,2,6,6,2,2,6,Standard,Standard,93.0,0.003,0.026,,,,,-0.026,,-4,-4,0.096,0.096,33,24,34,25,1,2,1.0,2.0,6.0,2.0,2.9,0.6,-0.6,38.9,,,,,,Splitter,False
SI,2026-09-14,91.6,1.21,5.64,"Hart, Kyle",678662,606996,,called_strike,,,,,5,,R,R,L,COL,SD,S,,,0,0,2026,0.72,0.76,0.1385297730391111,2.2794012985327043,,,691182.0,1,6,Bot,,,,,,,-4.26392709022476,-133.53685605608115,-4.224226987975595,9.493632797531973,23.013804119699728,-22.428420916216087,3.219127297,1.624606299,,,,92.9,2090.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,53.99,,,,,,,,54,1,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,141.0,-0.004,-0.037,,,,,0.037,,-4,-4,0.1,0.1,33,24,34,25,1,2,1.0,2.0,6.0,2.0,1.91,0.72,-0.72,42.1,,,,,,Sinker,False
SI,2026-09-14,90.9,1.23,5.66,"Hart, Kyle",691182,606996,walk,ball,,,,,14,Adael Amador walks.,R,R,L,COL,SD,B,,,3,0,2026,0.85,0.66,0.6447853297139635,1.2616307234652664,,,,1,6,Bot,,,,,,,-3.316453186318356,-132.53380406094516,-6.492287394953184,10.767637343321695,21.674375223423336,-23.379823756880416,3.172613189,1.60113189,,,,92.2,1906.0,6.5,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.03,,0.698418,0.7,1.0,0.0,0.0,,53,4,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,129.0,0.009,0.169,,,,,-0.169,,-4,-4,0.091,0.091,33,23,34,23,1,2,1.0,1.0,6.0,1.0,2.04,0.85,-0.85,45.8,,,,,,Sinker,True
SI,2026-09-14,91.9,1.44,5.66,"Hart, Kyle",691182,606996,,ball,,,,,12,,R,R,L,COL,SD,B,,,2,0,2026,0.88,0.7,1.4259175492467686,3.2938934825633712,,,,1,6,Bot,,,,,,,-1.968060746613568,-134.04222969080706,-1.6591196050794077,11.04376897094601,23.57780658132817,-23.461466092142793,3.172613189,1.60113189,,,,92.9,1997.0,6.3,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.16,,,,,,,,53,3,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,134.0,0.006,0.138,,,,,-0.138,,-4,-4,0.085,0.085,33,23,34,23,1,2,1.0,1.0,6.0,1.0,1.94,0.88,-0.88,39.7,,,,,,Sinker,False
SI,2026-09-14,92.0,1.2,5.69,"Hart, Kyle",691182,606996,,ball,,,,,12,,R,R,L,COL,SD,B,,,1,0,2026,0.78,0.51,1.6467560138763415,2.8683656665517905,,,,1,6,Bot,,,,,,,-0.6041510069078779,-134.18819096967945,-2.3783034158004037,9.624598963932415,23.5357392650214,-25.64511231794523,3.172613189,1.60113189,,,,93.0,1893.0,6.3,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.17,,,,,,,,53,2,Sinker,2,6,2,6,6,2,2,6,Standard,Standard,139.0,0.005,0.075,,,,,-0.075,,-4,-4,0.08,0.08,33,23,34,23,1,2,1.0,1.0,6.0,1.0,2.13,0.78,-0.78,42.8,,,,,,Sinker,False
SL,2026-09-14,89.1,1.4,5.75,"Hart, Kyle",691182,606996,,ball,,,,,12,,R,R,L,COL,SD,B,,,0,0,2026,-0.32,0.26,1.021290585740532,3.217706551399646,,,,1,6,Bot,,,,,,,-0.2302749695546254,-130.0139884942145,-0.6757800574684283,-3.641709295059432,23.071643487143003,-29.307979887830943,3.172613189,1.60113189,,,,89.5,2408.0,6.0,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.47,,,,,,,,53,1,Slider,2,6,2,6,6,2,2,6,Standard,Standard,176.0,0.002,0.041,,,,,-0.041,,-4,-4,0.078,0.078,33,23,34,23,1,2,1.0,1.0,6.0,1.0,2.56,-0.32,0.32,40.1,,,,,,Slider,False
SI,2026-09-14,93.7,1.33,5.6,"Hart, Kyle",666160,606996,field_out,hit_into_play,,,,,3,Mickey Moniak pops out to third baseman Manny Machado.,R,L,L,COL,SD,X,5.0,popup,1,2,2026,0.83,0.56,0.3798857146230552,3.299493600704972,,,,0,6,Bot,90.34,147.29,,,,,-4.295907462981024,-136.5996386282133,-1.4228112776255335,11.279611246434468,24.908070789807915,-24.951953917755663,3.254232283,1.642322835,161.0,72.8,61.0,94.7,2133.0,6.4,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.14,0.011,0.012,0.0,1.0,0.0,0.0,3.0,52,4,Sinker,2,6,2,6,6,2,2,6,Infield shade,Standard,141.0,-0.014,-0.187,75.3,7.0,,0.016,0.187,88.0,-4,-4,0.092,0.092,33,28,34,28,1,2,1.0,1.0,6.0,1.0,1.99,0.83,0.83,39.5,6.845558388630408,2.548901346064445,25.482444822251857,34.4982184682154,23.40117450856573,Sinker,True
SI,2026-09-14,91.7,1.39,5.63,"Hart, Kyle",666160,606996,,swinging_strike,,,,,14,,R,L,L,COL,SD,S,,,1,1,2026,0.96,0.32,1.402068480865658,2.3770452457124036,,,,0,6,Bot,,,,,,,-2.07380134336942,-133.74055530872312,-2.98200584535234,12.023140807087772,24.445065610658673,-27.925554672423285,3.254232283,1.642322835,,,,92.5,2019.0,6.3,824308,666023,664034,630105,592518,593428,687957,701538,665487,54.17,,,,,,,,52,3,Sinker,2,6,2,6,6,2,2,6,Infield shade,Standard,134.0,-0.005,-0.06,72.6,5.8,3.206786508,,0.06,,-4,-4,0.097,0.097,33,28,34,28,1,2,1.0,1.0,6.0,1.0,2.35,0.96,0.96,38.6,-19.703398783278708,23.87296463269547,44.22173828153899,21.693380294705545,16.63849086446681,Sinker,False
