Reliever,Pitch,Usage,PA 2026,Raw xwOBA,League,Regressed
Morejon,Four-seam,0.12903225806451613,55,0.18578181818181821,0.3288794125063036,0.2604414326119845
Morejon,Sinker,0.5181451612903226,158,0.2937405063291139,0.3500456378479394,0.3092373315177815
Morejon,Slider,0.07056451612903226,45,0.2669555555555556,0.28268764795989415,0.27594532264374905
Morejon,Changeup,0.28225806451612906,76,0.13226315789473683,0.27775429017160685,0.19645042213453245
Rodríguez,Four-seam,0.3022312373225152,72,0.2631111111111111,0.3405437791684344,0.2983077784098945
Rodríguez,Sinker,0.22718052738336714,68,0.2995882352941177,0.3527861226730092,0.32452474500297307
Rodríguez,Slider,0.032454361054766734,19,0.24763157894736842,0.29129357569721115,0.2807925891371224
Rodríguez,Changeup,0.4381338742393509,118,0.1889830508474576,0.2771273270512526,0.2186946046240177
Miller,Four-seam,0.5485232067510548,122,0.25831967213114754,0.3405437791684344,0.2854265206049784
Miller,Slider,0.4409282700421941,133,0.13095488721804513,0.29129357569721115,0.1808011116157133
Miller,Changeup,0.010548523206751054,3,0.5223333333333333,0.2771273270512526,0.2888038035408755
Matsui,Four-seam,0.3720472440944882,96,0.3415625,0.3288794125063036,0.3366843894255014
Matsui,Sinker,0.02952755905511811,9,0.23777777777777778,0.3500456378479394,0.33540200392574443
Matsui,Slider,0.3228346456692913,65,0.22506153846153848,0.28268764795989415,0.25272207102074923
Matsui,Sweeper,0.005905511811023622,5,0.37560000000000004,0.25855704528206425,0.2675603494911362
Matsui,Splitter,0.26968503937007876,76,0.21911842105263157,0.23521451612903224,0.22621963946869067
Peralta,Four-seam,0.0794392523364486,23,0.3341304347826086,0.3288794125063036,0.3303345150647978
Peralta,Sinker,0.49065420560747663,128,0.30290625,0.3500456378479394,0.3179507354833849
Peralta,Slider,0.09813084112149532,31,0.3202580645161289,0.28268764795989415,0.2954863612922379
Peralta,Changeup,0.3317757009345794,111,0.3226756756756757,0.27775429017160685,0.3069137860251252
Hart,Four-seam,0.07542579075425791,33,0.3794545454545455,0.3288794125063036,0.34682542742342165
Hart,Sinker,0.39659367396593675,65,0.24912307692307695,0.3500456378479394,0.2975659061670109
Hart,Slider,0.1192214111922141,29,0.4523103448275862,0.28268764795989415,0.33795796491678254
Hart,Sweeper,0.19951338199513383,54,0.3078518518518519,0.25855704528206425,0.28190721681512154
Hart,Splitter,0.20924574209245742,44,0.20222727272727267,0.23521451612903224,0.22125837468982626
Vásquez,Four-seam,0.2623456790123457,36,0.3086944444444445,0.3405437791684344,0.3286002786469382
Vásquez,Sinker,0.24382716049382716,26,0.337,0.3527861226730092,0.3480135739579134
Vásquez,Cutter,0.25925925925925924,23,0.42043478260869566,0.3494038594073053,0.36908712728238935
Vásquez,Slider,0.10493827160493827,10,0.23220000000000002,0.29129357569721115,0.28285163631189525
Vásquez,Sweeper,0.024691358024691357,5,0.4314,0.26833639357349565,0.280879747913996
Vásquez,Curveball,0.006172839506172839,3,0.6376666666666666,0.2762859993698141,0.2934946025744261
Vásquez,Changeup,0.09876543209876543,5,0.13620000000000002,0.2771273270512526,0.2662867634319255
Morgan,Four-seam,0.30851063829787234,49,0.35734693877551016,0.3405437791684344,0.34809749312023913
Morgan,Sinker,0.2801418439716312,39,0.34474358974358976,0.3527861226730092,0.3496178521250561
Morgan,Slider,0.17553191489361702,28,0.2606428571428571,0.29129357569721115,0.2815410743390076
Morgan,Curveball,0.23581560283687944,31,0.20919354838709678,0.2762859993698141,0.25343032925482245
