pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,bucket,is_pa
CH,2026-09-19,92.3,2.63,5.93,"Morejon, Adrian",672640,670970,,blocked_ball,,,,,14.0,,R,R,L,SD,MIA,B,,,0,0,2026,0.88,-0.1,0.6410952807250092,0.5948418767776533,,,665923.0,1,8,Top,,,,,,,-6.922631246637426,-134.0814976473931,-7.137051552012779,12.19514910020902,32.861287669693816,-31.85434293946925,3.136630577,1.582972441,,,,91.5,976.0,6.2,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.27,,,,,,,,74,1,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,105.0,-0.009,0.034,,,,,-0.034,,1,-1,0.737,0.263,27,27,27,28,1,4,1.0,1.0,,1.0,2.82,0.88,-0.88,45.6,,,,,,Changeup,False
SI,2026-09-19,99.5,2.39,5.96,"Morejon, Adrian",665923,670970,walk,ball,,,,,13.0,Esteury Ruiz walks.,R,R,L,SD,MIA,B,,,3,2,2026,1.4,0.84,-1.537009527601118,1.8562470624047984,,,,1,8,Top,,,,,,,-13.895506054367766,-143.9463351289951,-7.452436136779721,22.948284770237343,37.31520221051755,-18.76408676937447,3.165592192,1.597588583,,,,98.3,2370.0,6.2,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.27,,0.698418,0.7,1.0,0.0,0.0,,73,7,Sinker,6,5,5,6,5,6,5,6,Standard,Strategic,139.0,-0.053,0.339,,,,,-0.339,,1,-1,0.79,0.21,27,27,27,27,1,3,1.0,3.0,,1.0,1.51,1.4,-1.4,39.9,,,,,,Sinker,True
SI,2026-09-19,99.2,2.27,5.98,"Morejon, Adrian",665923,670970,,foul,,,,,5.0,,R,R,L,SD,MIA,S,,,3,2,2026,1.37,0.94,0.1436377373700903,2.550775646487361,,,,1,8,Top,,,,,,,-8.948201634109177,-144.00842834718767,-5.88562000648701,21.152234963623027,36.36158035472693,-17.89072154315555,3.165592192,1.597588583,172.0,65.8,39.0,98.4,2408.0,6.2,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.35,,,,,,,,73,6,Sinker,6,5,5,6,5,6,5,6,Standard,Strategic,141.0,0.0,0.0,64.5,6.3,,,0.0,88.0,1,-1,0.79,0.21,27,27,27,27,1,3,1.0,3.0,,1.0,1.41,1.37,-1.37,41.2,-8.399264564153636,8.780508332079059,37.21882104035603,37.331409639863104,18.63831281514647,Sinker,False
FF,2026-09-19,99.1,2.41,6.01,"Morejon, Adrian",665923,670970,,ball,,,,,12.0,,R,R,L,SD,MIA,B,,,2,2,2026,0.7,1.41,0.5811541303137759,3.9078755080019696,,,,1,8,Top,,,,,,,-6.584850829148168,-144.0155021380917,-3.399848474303556,11.350059830034752,38.078198768746496,-12.126111011190726,3.165592192,1.597588583,,,,98.3,2488.0,6.3,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.24,,,,,,,,73,5,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Strategic,145.0,-0.015,0.112,,,,,-0.112,,1,-1,0.805,0.195,27,27,27,27,1,3,1.0,3.0,,1.0,0.95,0.7,-0.7,41.8,,,,,,Four-seam,False
SI,2026-09-19,99.7,2.37,5.95,"Morejon, Adrian",665923,670970,,called_strike,,,,,4.0,,R,R,L,SD,MIA,S,,,2,1,2026,1.35,0.97,-0.3510991860405572,2.179260106884495,,,,1,8,Top,,,,,,,-10.541716019593316,-144.46885563890496,-6.897914448496006,21.616999131896844,39.78526672760316,-16.996922106946815,3.165592192,1.597588583,,,,98.2,2432.0,6.1,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.41,,,,,,,,73,4,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,137.0,0.012,-0.075,,,,,0.075,,1,-1,0.793,0.207,27,27,27,27,1,3,1.0,3.0,,1.0,1.37,1.35,-1.35,42.5,,,,,,Sinker,False
SI,2026-09-19,98.4,2.58,5.95,"Morejon, Adrian",665923,670970,,foul,,,,,14.0,,R,R,L,SD,MIA,S,,,2,0,2026,1.5,0.76,1.2620623038514642,1.8124115798617768,,,,1,8,Top,,,,,,,-7.033800490346918,-142.96823661826832,-7.252563430041316,22.13531528369375,34.67220794141188,-20.17051410485816,3.165592192,1.597588583,170.0,66.7,58.0,97.8,2232.0,6.2,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.34,,,,,,,,73,3,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,139.0,0.013,-0.069,81.9,7.8,,,0.069,88.0,1,-1,0.78,0.22,27,27,27,27,1,3,1.0,3.0,,1.0,1.61,1.5,-1.5,45.2,14.990050798704075,-1.178031374295486,32.30233770003146,51.34133714173435,29.30222191406431,Sinker,False
CH,2026-09-19,91.6,2.49,6.06,"Morejon, Adrian",665923,670970,,ball,,,,,13.0,,R,R,L,SD,MIA,B,,,1,0,2026,1.15,-0.59,-0.4522498556325864,-0.5373281237089702,,,,1,8,Top,,,,,,,-9.761836168512689,-132.6892701003626,-8.915604011824149,15.91621263948774,34.217351605141005,-36.90148371179455,3.165592192,1.597588583,,,,89.9,1087.0,6.0,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.53,,,,,,,,73,2,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,101.0,-0.013,0.075,,,,,-0.075,,1,-1,0.793,0.207,27,27,27,27,1,3,1.0,3.0,,1.0,3.38,1.15,-1.15,40.0,,,,,,Changeup,False
SI,2026-09-19,99.1,2.54,5.97,"Morejon, Adrian",665923,670970,,ball,,,,,12.0,,R,R,L,SD,MIA,B,,,0,0,2026,1.57,0.83,0.8298494927601936,3.2136354043298656,,,,1,8,Top,,,,,,,-8.324927769630527,-143.92534937212366,-3.765683850063312,23.835724734951935,38.971677324215975,-19.952252300274267,3.165592192,1.597588583,,,,98.0,2130.0,6.1,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.35,,,,,,,,73,1,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,140.0,-0.006,0.041,,,,,-0.041,,1,-1,0.799,0.201,27,27,27,27,1,3,1.0,3.0,,1.0,1.53,1.57,-1.57,39.9,,,,,,Sinker,False
CH,2026-09-19,91.7,2.63,6.05,"Morejon, Adrian",691277,670970,strikeout,swinging_strike,,,,,13.0,Deyvison De Los Santos strikes out swinging.,R,R,L,SD,MIA,S,2.0,,1,2,2026,0.96,-0.37,-0.0757063621587426,0.7644113479269583,,,,0,8,Top,,,,,,,-8.792213098407272,-133.08524559651937,-6.252643621871815,13.403689489734566,32.224773116945435,-35.21369859042194,3.257742782,1.644094488,,,,90.5,965.0,6.0,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.52,,0.0,0.0,1.0,0.0,0.0,,72,4,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,110.0,0.038,-0.187,73.8,8.6,4.642454652,,0.187,,1,-1,0.761,0.239,27,23,27,23,1,0,1.0,1.0,,1.0,3.12,0.96,-0.96,40.7,18.27643740984629,-29.68792295641167,38.9231183649761,40.13849175693343,40.60639492898409,Changeup,True
FF,2026-09-19,98.3,2.45,6.02,"Morejon, Adrian",691277,670970,,called_strike,,,,,9.0,,R,R,L,SD,MIA,S,,,1,1,2026,0.65,1.32,0.3666011175581025,1.809116455142868,,,,0,8,Top,,,,,,,-7.0651957366407,-142.61432331077685,-8.678407425360602,10.636192591927871,36.75684531970588,-12.30788394517132,3.257742782,1.644094488,,,,97.2,2227.0,6.1,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.38,,,,,,,,72,3,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Standard,138.0,0.013,-0.06,,,,,0.06,,1,-1,0.748,0.252,27,23,27,23,1,0,1.0,1.0,,1.0,1.08,0.65,-0.65,44.0,,,,,,Four-seam,False
CH,2026-09-19,90.6,2.69,6.09,"Morejon, Adrian",691277,670970,,swinging_strike,,,,,14.0,,R,R,L,SD,MIA,S,,,1,0,2026,0.5,0.42,0.5338542885149989,1.5024885582431682,,,,0,8,Top,,,,,,,-6.349148431072536,-131.65596890838012,-6.026658558764506,7.339475018716753,32.95113265387537,-26.10791276066608,3.257742782,1.644094488,,,,89.2,930.0,5.9,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.57,,,,,,,,72,2,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,109.0,0.012,-0.055,79.7,8.6,6.089829528,,0.055,,1,-1,0.736,0.264,27,23,27,23,1,0,1.0,1.0,,1.0,2.41,0.5,-0.5,37.8,18.432905963337788,-26.595019966216263,25.16456676154211,47.678298611932426,43.922197933219906,Changeup,False
CH,2026-09-19,91.2,2.68,6.11,"Morejon, Adrian",691277,670970,,ball,,,,,14.0,,R,R,L,SD,MIA,B,,,0,0,2026,0.75,-0.71,0.212782454328974,-0.2651096835248707,,,,0,8,Top,,,,,,,-7.684447137607544,-132.2924877129687,-8.047891679711583,10.6051000536422,33.02802308284768,-38.63600518258216,3.257742782,1.644094488,,,,89.7,998.0,6.0,823249,666023,664034,630105,592518,823550,687957,701538,665487,54.54,,,,,,,,72,1,Changeup,6,5,5,6,5,6,5,6,Standard,Standard,104.0,-0.009,0.042,,,,,-0.042,,1,-1,0.745,0.255,27,23,27,23,1,0,1.0,1.0,,1.0,3.51,0.75,-0.75,40.4,,,,,,Changeup,False
FF,2026-09-19,99.5,2.41,5.98,"Morejon, Adrian",682663,670970,strikeout,swinging_strike,,,,,2.0,Agustín Ramírez strikes out swinging.,R,R,L,SD,MIA,S,2.0,,1,2,2026,0.62,1.36,-0.0732449154777018,2.834306767074797,669364.0,,805300.0,2,7,Top,,,,,,,-8.172513663931282,-144.5651936432297,-6.232535057312376,10.576373219626982,34.778336190504746,-11.782796171849288,3.256865158,1.643651575,,,,99.2,2473.0,6.3,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.22,,0.0,0.0,1.0,0.0,0.0,,67,5,4-Seam Fastball,6,5,5,6,5,6,5,6,Standard,Standard,134.0,0.068,-0.197,79.4,7.0,1.105920792,,0.197,,1,-1,0.721,0.279,27,24,27,25,1,3,1.0,1.0,,1.0,0.95,0.62,-0.62,45.1,6.959224857884512,6.937965832269466,25.319163897007876,40.11704665122314,29.727898750939353,Four-seam,True
SI,2026-09-19,99.6,2.44,5.94,"Morejon, Adrian",682663,670970,,foul,,,,,2.0,,R,R,L,SD,MIA,S,,,1,2,2026,1.3,0.75,0.0251877545813825,2.9718751769186458,669364.0,,805300.0,2,7,Top,,,,,,,-9.610868795129775,-144.7208774920621,-4.3238851878804105,20.54540175061354,35.04033407515236,-20.72212859514048,3.256865158,1.643651575,222.0,79.5,57.0,99.1,2325.0,6.2,823249,666023,664034,665487,592518,630105,669392,701538,687957,54.3,,,,,,,,67,4,Sinker,6,5,5,6,5,6,5,6,Standard,Standard,138.0,0.0,0.0,74.4,7.0,,,0.0,88.0,1,-1,0.721,0.279,27,24,27,25,1,3,1.0,1.0,,1.0,1.56,1.3,-1.3,36.8,4.878718338884882,8.502677479967343,22.204456459604152,41.17640891003207,26.580307234069835,Sinker,False
