Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Brennan Bernardino","COL",23,88.95666666666666,89.90331125827815,85.16777777777776,,,95.13578231292517,75.57920000000001,,,90.52552334993771,105.14537640099626,92.71050093399751,"Brennan Bernardino",16835,657514
"Brock Burke","CIN",28.2,93.1540206185567,109.42260869565216,,,105.26018181818182,,110.43604651162792,,,101.74924878583393,90.08302066746116,92.33347732942877,"Brock Burke",17968,656271
"Yoendrys Gómez","MIN",22.1,113.63110091743117,104.45333333333332,91.4542857142857,,128.86791666666667,,93.37249999999999,,,111.74397209302326,81.8428488372093,92.21347441860468,"Yoendrys Gomez",22872,672782
"Jeff Hoffman","- - -",24.2,105.2414705882353,95.53846153846153,,93.46767123287671,102.28929824561403,,,,,101.49442705314009,88.95889802371539,92.19723653930612,"Jeff Hoffman",17432,656546
"Dylan Smith","SFG",25,102.0484892086331,97.65473684210527,,110.01680000000002,111.91928571428573,87.20193548387097,,,,102.9044555998913,87.8995675119063,91.56615036970294,"Dylan Smith",30145,681916
"Orion Kerkering","PHI",21,88.68297619047618,98.80253521126761,,93.42324324324325,117.53447852760733,,,,,101.40572007086813,89.80931409769677,91.4078764869653,"Orion Kerkering",31776,689147
"Julian Garcia","CIN",35.2,89.58585365853659,,,,90.61756613756616,,,,,90.30538745387454,100.68398523985242,91.19099630996311,"Julian Garcia",22362,670062
"Camilo Doval","- - -",23.1,,81.128322147651,83.10344086021506,,125.19626506024098,,82.305,,,99.36756866804694,88.48796020243849,91.09683206809295,"Camilo Doval",21992,666808
"Carson Seymour","SFG",25.1,89.12925373134328,110.75356164383564,96.98021505376344,107.86,120.86660000000002,,,,,106.51971572527182,80.81996393529568,90.41942720763723,"Carson Seymour",30084,693313
"Nate Pearson","KCR",24.2,101.7961111111111,100.93454545454544,,,103.80272727272727,110.30745098039216,121.23555555555555,,,103.64573604060915,85.90852791878173,89.67213197969544,"Nate Pearson",20160,663878
"Chad Patrick","MIL",31,95.19142857142855,90.54433566433566,109.2194642857143,,,127.10076923076925,65.5,,,101.30622549019607,87.91493315508019,89.21058377896613,"Chad Patrick",30113,694477
"Zack Littell","- - -",23.2,82.94378378378379,74.44941176470589,,89.756,79.02365384615383,,,,,83.17541806020067,102.60917403248925,89.07074892498805,"Zack Littell",15823,641793
"Trevor Richards","CHW",43.1,78.1905504587156,85.56,,,92.59746478873237,,109.94525714285716,,,87.86266716773791,103.18668696869165,88.54377825005183,"Trevor Richards",19309,670950
"Travis Adams","MIN",32.1,93.32958333333333,86.3539393939394,94.64107526881718,,96.11573529411764,,93.57369369369368,,,93.93429787234045,92.43293617021276,88.18365957446808,"Travis Adams",30180,701519
"Khristian Curtis","PIT",21,100.0203305785124,,87.46556701030927,,100.53428571428572,91.84666666666666,95.73129032258065,,,95.82295924864692,88.922247055078,87.49904425342248,"Khristian Curtis",33865,694753
"Clayton Beeter","WSN",20.2,89.57342105263157,,,,113.65462365591397,,,,,102.82520710059168,83.03390532544378,87.03650887573963,"Clayton Beeter",27494,690925
"Jimmy Herget","COL",26,90.15055555555554,78.21182795698924,,,107.5225815850816,,74.74250000000002,,,96.83694239189927,90.51077346743294,86.60620005473456,"Jimmy Herget",17556,623474
"Jovani Morán","BOS",26.2,99.54094117647058,97.07945205479452,98.91388888888888,,114.74421052631581,,106.98013333333333,,,102.23856983773464,82.62012191594597,86.33054387335011,"Jovani Moran",20422,663558
"Victor Mederos","ATL",27.1,98.39821138211381,96.55,97.11159817351597,98.89812500000001,123.45600000000002,,,,,98.37126706719565,88.74106146987315,86.1602726825789,"Victor Mederos",31533,682989
"Zach Agnos","COL",30,80.13870967741936,82.88170731707318,89.03125,87.14618181818182,93.27162499999999,,,,,87.19717286914766,95.72535534213688,85.49431812725089,"Zach Agnos",31552,688642
"Ty Madden","DET",24,87.48333333333333,85.71724137931035,88.77824175824175,92.43081967213112,96.27182795698926,,,68.96000000000001,,90.36700980392158,94.57528685548291,84.14107480029047,"Ty Madden",30140,680744
"Jordan Romano","COL",20,82.6850847457627,,,,86.48926108374383,,,,,85.10818072530554,95.41174714486074,82.61133840913645,"Jordan Romano",16122,605447
"Trevor Williams","- - -",25.2,99.83617486338798,77.98891891891893,,,97.16356687898089,,71.82000000000001,,,92.38285621459688,90.60231200092825,82.45074693304923,"Trevor Williams",16977,592866
"Jacob Waguespack","DET",32,91.12011235955056,,81.10149659863946,,,93.04645161290323,106.88137931034478,,,91.11044213715725,91.69360819650134,82.2075217866875,"Jacob Waguespack",18318,621097
"Juan Mejia","COL",25.2,78.30032786885246,100.02,,,115.33868131868134,,35.16,,,92.00650340136056,91.28002040816325,80.95795238095239,"Juan Mejia",23237,675848
