Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Emmet Sheehan","LAD",1,0,0,2,2,11.2,11.571429202021418,1.5428572269361893,0.7714286134680947,0.16666666666666666,1,0.52,0.09090909,94.05942170516305,0.7714286134680947,1.6439162260282696,2.1532047030390498,2.460506991679742,0.5109352537648696,"Emmet Sheehan",29839,686218
"Nick Martinez","TBR",3,1,0,6,6,35.2,6.308411327405044,0.7570093592886052,1.261682265481009,0.20202020202020202,0.85714286,0.378640776,0.102040816,92.9465549416738,2.523364530962018,1.887702557344427,3.7689591055343703,4.0179169657906435,0.7154215578917554,"Nick Martinez",12730,607259
"Hunter Brown","HOU",3,0,0,6,6,33.1,12.960000494384785,2.9700001132965133,0.540000020599366,0.37333333333333335,0.81151832,0.61038961,0.095238095,96.03342664563978,2.430000092697147,2.148767017063628,1.986061854934691,2.155941106726092,1.3421303193825858,"Hunter Brown",25880,686613
"Blake Snell","LAD",3,0,0,5,5,23.2,12.169014411416239,3.802817003567575,0,0.29411764705882354,0.92307692,0.4,0,95.64950035358298,0.7605634007135149,2.150439107141681,1.786202707160112,3.1240608350877745,1.0742242139742,"Blake Snell",13543,605483
"Brayan Bello","BOS",1,0,0,2,2,13,12.461538461538462,1.3846153846153846,0.6923076923076923,0.27586206896551724,1,0.535714285,0.111111111,96.6998603634718,0.6923076923076923,2.1926535298433905,2.0191388203547556,2.062962166850384,0.5175489738389564,"Brayan Bello",23920,678394
"Trevor Rogers","BAL",2,3,0,6,6,40,10.125000241398817,0.9000000214576727,1.3500000321865089,0.29591836734693877,0.71895425,0.378640776,0.127659574,94.23430804504599,3.8250000911951085,2.2767486149718894,3.096061897277832,2.917662072771196,1.116781502744262,"Trevor Rogers",22286,669432
"Jacob deGrom","TEX",3,2,0,7,7,38,11.605263449148465,2.8421053344853386,0.7105263336213347,0.2222222222222222,0.64935065,0.43902439,0.09090909,97.6064510345459,3.552631668106673,2.3571212823199827,2.6486934649977325,2.9317350383193403,1.2202073055336242,"Jacob deGrom",10954,594798
"Max Fried","NYY",1,1,0,5,5,26.1,8.544304519485904,2.0506330846766168,0.6835443615588723,0.2608695652173913,0.77586207,0.492753623,0.066666666,94.01067378603179,2.7341774462354893,2.407345320884764,2.8682137767582088,3.5985560542264667,0.7267704217914809,"Max Fried",13743,608331
"Yoshinobu Yamamoto","LAD",2,2,0,6,6,39.2,10.43697495720126,1.8151260795132627,1.134453799695789,0.2,0.81481481,0.531914893,0.15625,95.93544351619525,2.268907599391578,2.410657531070452,3.2473224039039374,2.8249989017348254,1.1387100337655462,"Yoshinobu Yamamoto",33825,808967
"Cam Schlittler","NYY",4,0,0,6,6,38.2,10.47413810325718,3.025862118718741,0.4655172490336525,0.17647058823529413,0.88235294,0.476190476,0.066666666,98.10566349252188,0.931034498067305,2.4260639791678362,2.4495101625088704,2.946898403828909,1.2658207320167774,"Cam Schlittler",32095,693645
"Chris Sale","ATL",2,1,0,5,5,33.2,10.693069508865461,0.8019802131649095,0.534653475443273,0.2962962962962963,0.83333333,0.445783132,0.06060606,96.3214343843006,2.138613901773092,2.5004362285906585,2.204972771539044,2.910584057625396,1.2047145403512574,"Chris Sale",10603,519242
"Jared Jones","PIT",3,1,0,6,6,33.2,12.29702993519528,2.6732673772163653,0.2673267377216365,0.27631578947368424,0.78431373,0.32,0.028571428,98.0209942084942,2.138613901773092,2.5350995937128467,1.6406163252378112,2.8219352341984445,1.5816416538282962,"Jared Jones",27863,683003
"Jesús Luzardo","PHI",3,0,0,4,4,28.1,11.435294630849262,1.9058824384748767,0.9529412192374384,0.1864406779661017,0.95505618,0.45,0.111111111,96.25831147354015,0.9529412192374384,2.573587979924095,2.778414824198686,2.838736374435121,0.900056690231423,"Jesus Luzardo",19959,666200
"Jacob Misiorowski","MIL",3,0,0,6,6,30.1,10.978022093070964,3.2637362979400164,0.29670329981272875,0.2857142857142857,0.78431373,0.436619718,0.038461538,100.0918409003586,2.37362639850183,2.6323930699313243,2.1729849645271204,3.036766259716939,1.1517844505572492,"Jacob Misiorowski",31623,694819
"Payton Tolle","BOS",1,0,0,5,5,28.2,11.616279713845792,2.197674540457312,0.627907011559232,0.3380281690140845,0.81325301,0.428571428,0.068965517,96.06099619763962,2.8255815520165437,2.6488790298653604,2.4681548857186,3.0864549263143557,0.9500503183029455,"Payton Tolle",35466,801139
"Cade Cavalli","WSN",2,0,0,5,5,27,12.666666666666666,2,1,0.23636363636363636,0.91743119,0.508771929,0.142857142,96.72304948413645,2,2.68185491936216,2.836802638018573,2.565048619884032,0.7284701909856997,"Cade Cavalli",27473,676917
"Tyler Mahle","ATL",3,0,0,5,5,30.2,7.3369566738492855,1.1739130678158858,0.5869565339079429,0.25287356321839083,0.8778626,0.539325842,0.08,93.39575723755411,1.1739130678158858,2.6966858520553156,2.802583630323861,3.183897361457824,0.8831688697033618,"Tyler Mahle",16358,641816
"Eduardo Rodriguez","ARI",3,3,0,6,6,34.1,8.912621689310228,3.9320389805780422,1.0485437281541445,0.2765957446808511,0.71782178,0.389473684,0.095238095,92.37193456626038,3.669903048539506,2.6998813414465648,4.028100766748183,4.357963391219352,0.5395196283917392,"Eduardo Rodriguez",13164,593958
"Drew Rasmussen","TBR",3,0,0,6,6,37.2,8.601770056695349,1.6725663999129843,0.23893805713042635,0.22916666666666666,0.83916084,0.447916666,0.027777777,95.78449922449448,1.433628342782558,2.7084458522831936,2.0872123227271433,3.1831100585110113,1.415103018877291,"Drew Rasmussen",25385,656876
"Freddy Peralta","TBR",4,1,0,6,6,35.2,7.317757139789851,1.7663551716734123,0.7570093592886052,0.19148936170212766,0.85271318,0.357894736,0.06,94.99352067240169,2.0186916247696143,2.70932510682439,3.3203609666966782,4.34056402295776,0.7640800260436003,"Freddy Peralta",18679,642547
"Logan Henderson","MIL",4,1,0,6,6,35,9,1.8,1.0285714285714285,0.2,0.84821429,0.306818181,0.083333333,93.10356390654151,2.057142857142857,2.7683861115999377,3.181776182992118,3.7638262408120293,0.8625950163865648,"Logan Henderson",31475,701656
"Reid Detmers","LAA",2,0,0,6,6,36,9.25,0.75,0.5,0.3333333333333333,0.82386364,0.468085106,0.06060606,94.0472412109375,2.25,2.825357206349703,2.096061897277832,2.7559391060637104,1.350071561030708,"Reid Detmers",27468,672282
"Jonah Tong","NYM",1,1,0,3,3,15.2,10.340425951548879,3.4468086505162927,0.5744681084193821,0.2926829268292683,0.59139785,0.463414634,0.0625,94.4301012976695,4.595744867355057,2.937291730357549,2.9684023176290806,3.6784396235436674,0.4113978357952683,"Jonah Tong",32157,804636
"Gavin Williams","CLE",3,1,0,6,6,32,15.187500452622785,3.375000100582841,0.8437500251457103,0.3389830508474576,0.76923077,0.409836065,0.125,97.84067900284477,3.0937500922009376,3.000856187618008,2.3460618749260895,2.2581204976754963,1.0609606148645732,"Gavin Williams",30122,668909
"Andrew Alvarez","WSN",0,2,0,6,6,33,10.363636663137397,4.090909209133184,0.5454545612177577,0.24358974358974358,0.87349398,0.493670886,0.076923076,92.12535863415948,1.909090964262152,3.120666230739159,2.9445467413840105,3.3445881371722437,0.9465550770391475,"Andrew Alvarez",29914,674841
"Christian Scott","NYM",0,2,0,5,5,25.1,10.302632483914367,4.263158269205945,1.4210527564019817,0.2459016393442623,0.68181818,0.307692307,0.111111111,95.61818625710227,4.9736846474069365,3.125435509848377,4.398693590646316,4.488646783459742,0.22636034787987297,"Christian Scott",30107,681035
"Andrew Painter","PHI",1,2,0,6,6,35.1,9.169811403254846,2.547169834237457,1.0188679336949829,0.2631578947368421,0.74850299,0.46875,0.117647058,96.83728908962674,3.56603776793244,3.1263001432885047,3.3790807677486607,3.358231456715382,0.8294772355386048,"Andrew Painter",30091,691725
"Tarik Skubal","LAD",4,0,0,6,6,38,9.710526559491573,1.6578947784497808,0.4736842224142231,0.31683168316831684,0.7591623,0.45,0.06060606,96.6498670578003,2.8421053344853386,3.1295224514670417,2.1750092425835095,2.800156087648723,1.4990002841372658,"Tarik Skubal",22267,669373
"Walbert Ureña","LAA",1,2,0,6,6,35.2,8.32710295217466,2.271028077865816,0.7570093592886052,0.3,0.74742268,0.617647058,0.130434782,99.08311827977498,3.5327103433468245,3.150122215172625,3.1801740483098992,3.059000153944885,0.7647869306683895,"Walbert Urena",29357,700712
"Jackson Jobe","DET",1,2,0,5,5,26.2,10.800000257492071,3.037500072419645,1.6875000402331362,0.25,0.79166667,0.420289855,0.172413793,97.24578424889272,3.7125000885128996,3.173796072431532,4.258561924993993,3.4607344127591855,0.2736080957674523,"Jackson Jobe",30203,695549
"Anthony Molina","SFG",2,2,0,5,5,24.2,10.216216479539007,1.8243243713462514,0.7297297485385005,0.30303030303030304,0.53719008,0.294117647,0.06060606,96.3452825262995,4.378378491231003,3.1789935228142165,2.487953773495749,3.451017832762962,0.8894766335054003,"Anthony Molina",26952,683627
"Nolan McLean","NYM",3,2,0,6,6,37,7.783783783783784,3.891891891891892,0.4864864864864865,0.2647058823529412,0.81018519,0.460784313,0.055555555,95.77830989186357,2.4324324324324325,3.1928721397298636,3.4474132486291835,4.211705519379796,0.8121558985939822,"Nolan McLean",33703,690997
"Cal Quantrill","TEX",4,1,0,6,6,32.1,7.5154639914155155,0.835051554601724,1.1134020728022986,0.21176470588235294,0.88235294,0.404494382,0.111111111,93.75698657746011,2.2268041456045973,3.204516715876956,3.4053402508340263,3.475819035581777,0.7331764003909279,"Cal Quantrill",19312,615698
"Zack Wheeler","PHI",3,1,0,6,6,35.2,11.102803936232878,3.5327103433468245,1.261682265481009,0.2976190476190476,0.81578947,0.431818181,0.15625,95.26937579293536,3.5327103433468245,3.2143074537542344,3.712884338179659,3.2431974517454267,0.6966435022829585,"Zack Wheeler",10310,554430
"Connor Prielipp","MIN",2,1,0,5,5,29,7.448276107007918,2.172413864543976,0.31034483779199656,0.2891566265060241,0.60126582,0.421686746,0.03125,95.24315032958984,4.344827729087952,3.2599093157601833,2.716751539976503,3.9321941552041237,0.8369533081330863,"Connor Prielipp",31857,687570
"Michael Wacha","KCR",3,1,0,6,6,38.2,7.913793233572092,2.793103494201915,1.6293103716177837,0.1717171717171717,0.9929078,0.295238095,0.14,93.32095714097612,2.3275862451682623,3.288461779201925,4.777096407677133,4.373318168917709,0.34799256416338237,"Michael Wacha",14078,608379
"Brandon Williamson","CIN",2,0,0,2,2,11.1,5.55882368533257,1.5882353386664485,0.7941176693332243,0.2727272727272727,0.8490566,0.5,0.09090909,94.21994454520089,2.3823530079996726,3.3004535914805144,3.5372383802407343,3.853578963122426,0.2572211570890335,"Brandon Williamson",25463,682227
"Will Warren","NYY",2,0,0,5,5,28,9.321428888914546,3.214285823763637,0.6428571647527274,0.3333333333333333,0.76704545,0.4625,0.074074074,93.8908837161847,2.5714286590109094,3.325243626518276,3.024633323416418,3.549958716784948,0.6887242364560306,"Will Warren",30182,701542
"Tyler Glasnow","LAD",2,1,0,5,5,28,12.214285714285714,3.2142857142857144,0.6428571428571429,0.3076923076923077,0.62913907,0.348484848,0.071428571,95.66398030190012,4.5,3.362538512356722,2.488919040134975,3.0680924453905654,0.9794447528954401,"Tyler Glasnow",14374,607192
"Merrill Kelly","ARI",2,3,0,6,6,33,7.909091366224079,3.545454750376311,0.545454576980971,0.26595744680851063,0.73298429,0.393617021,0.055555555,92.29235540284701,3.2727274618858258,3.468581824068039,3.3990922178228162,4.25602602546658,0.667359228260792,"Merrill Kelly",11156,518876
"Hayden Wesneski","HOU",3,1,0,6,6,31.1,6.606383045748275,3.4468085456077957,0.5744680909346326,0.20930232558139536,0.69536424,0.443181818,0.0625,93.13805440266927,2.2978723637385303,3.4695526467678444,3.702444882153278,4.412482166456875,0.6398438773460734,"Hayden Wesneski",27581,669713
"Noah Cameron","KCR",2,0,0,6,6,34,7.676470588235294,2.911764705882353,1.3235294117647058,0.24175824175824176,0.87878788,0.421052631,0.121951219,92.54187135022096,2.911764705882353,3.4699658502949076,4.44900307374842,4.355401255716296,0.3221172692592194,"Noah Cameron",30184,702070
"Zebby Matthews","MIN",2,3,0,6,6,33.2,9.356435820257278,2.138613901773092,1.3366336886081827,0.2558139534883721,0.68965517,0.406593406,0.138888888,95.43027540184985,4.277227803546184,3.4708023643978474,3.749527256152944,3.4310761813600803,0.552280940782263,"Zebby Matthews",31827,805673
"Lake Bachar","PIT",0,2,0,7,7,13,9.000001320472323,6.230770144942379,0.6923077938824864,0.29411764705882354,0.86734694,0.457142857,0.076923076,93.84255642361111,2.7692311755299457,3.4759033652552334,4.40375439683364,4.911499305156548,0.17300505798401708,"Lake Bachar",19222,669199
"Cristopher Sánchez","PHI",2,2,0,6,6,38.1,7.9826089604455355,1.4086956989021533,1.1739130824184612,0.3153153153153153,0.675,0.581818181,0.166666666,,4.695652329673845,3.4817509410177814,3.5656271302452165,3.0499491570041415,0.7636809305830982,"Cristopher Sanchez",20778,650911
"Ryan Feltner","COL",0,2,0,3,3,15.2,7.468085409451968,4.595744867355057,0.5744681084193821,0.3269230769230769,0.44715447,0.461538461,0.05,94.14791771673387,6.893617301032585,3.4982789710850652,3.798189585345966,4.893183034668421,0.29777943686025626,"Ryan Feltner",21446,663372
"Clay Holmes","CHC",1,2,0,5,5,28.1,7.941176826978653,5.082353169266338,0.6352941461582923,0.24675324675324675,0.59659091,0.607594936,0.125,92.76163552024148,5.082353169266338,3.5101139354607875,4.04900311651527,3.9827884314694817,0.3290150750683395,"Clay Holmes",13649,605280
"Andrew Sears","DET",0,0,0,3,3,10.2,7.593751173990494,5.062500782660329,0.8437501304433883,0.3142857142857143,0.51020408,0.285714285,0.05,94.0365919030231,4.218750652216942,3.5525345868074867,5.1585622161394475,6.766834028203203,0.014317672251141698,"Andrew Sears",33664,808825
"Logan Gilbert","SEA",2,4,0,6,6,31.2,11.368421280879398,3.1263158522418344,2.5578947881978644,0.35802469135802467,0.78125,0.413793103,0.272727272,96.78598575141486,5.968421172461684,3.621369429680982,5.496061945463483,3.372553887554058,-0.11023370548259247,"Logan Gilbert",22250,669302
"Ryan Johnson","LAA",3,2,0,6,6,34.2,7.528846291924372,2.596153893767025,0.519230778753405,0.24210526315789474,0.82386364,0.34375,0.04347826,,2.3365385043903224,3.628926288659905,3.2979849779041563,4.548646414957771,0.8408118467851387,"Ryan Johnson",35325,696270
"Shota Imanaga","CHC",3,1,0,6,6,30,9.3,1.5,1.5,0.2962962962962963,0.79310345,0.441860465,0.15625,91.32023402622768,3.6,3.6498600015249867,3.896061897277832,3.3376563866933187,0.4448382615749556,"Shota Imanaga",33829,684007
"Bryan Woo","SEA",3,1,0,5,5,29.1,9.204545554297031,2.1477272960026403,0.920454555429703,0.25925925925925924,0.70895522,0.428571428,0.103448275,96.70138518978851,3.0681818514323433,3.6616289679598584,3.096061897277832,3.2571278142841398,0.7750463460630657,"Bryan Woo",30279,693433
"Paul Skenes","PIT",1,0,0,5,5,29,6.517241593631928,1.8620690267519795,1.5517241889599829,0.24390243902439024,0.80769231,0.388235294,0.151515151,96.56962800757286,3.724138053503959,3.666185410097878,4.716751605747148,4.191081916608318,0.3179700232155795,"Paul Skenes",33677,694973
"Parker Messick","CLE",3,1,0,6,6,34.1,10.223301065531064,2.097087398057654,0.7864077742716203,0.3068181818181818,0.83798883,0.444444444,0.085714285,94.39390869140625,2.6213592475720677,3.680507304996696,2.8339259725206256,3.235025078679411,0.9217390130802879,"Parker Messick",31986,800048
"Kumar Rocker","TEX",1,0,0,4,4,17,11.647059476911853,5.823529738455926,0.5294117944050842,0.30952380952380953,0.80508475,0.558139534,0.076923076,94.70858383178711,3.176470766430505,3.718233335845218,3.213708962701184,3.60198444564469,0.4202747736109445,"Kumar Rocker",31843,677958
"Aaron Nola","PHI",2,2,0,6,6,37.1,7.473214349348327,3.1339285981138145,1.205357153120698,0.2127659574468085,0.90625,0.479591836,0.151515151,92.14236201533565,2.410714306241396,3.742145097562569,4.30141905039853,3.8930863553936947,0.4773252964314867,"Aaron Nola",16149,605400
"Tyler Phillips","MIA",2,0,0,5,5,22,8.181818891162775,4.090909445581388,1.6363637782325553,0.17307692307692307,0.97701149,0.535714285,0.210526315,95.81418304443359,2.454545667348833,3.743896002848092,5.00515297188248,3.943659781795015,0.05275486899602003,"Tyler Phillips",20629,663969
"Braxton Ashcraft","PIT",1,1,0,3,3,16,7.875,1.125,0.5625,0.3333333333333333,0.73863636,0.458333333,0.071428571,97.84336942784927,3.375,3.7904340817492344,2.533561897277832,3.0403386268764736,0.514990109867201,"Braxton Ashcraft",23793,677952
"José Soriano","TOR",2,2,0,6,6,35,7.971428788632768,2.8285715056438856,1.0285714565977766,0.2871287128712871,0.58962264,0.567307692,0.166666666,97.2576894906851,5.657143011287771,3.806002274907384,4.096061924525671,3.644229798267035,0.39566618081942184,"Jose Soriano",22100,667755
"Bailey Ober","MIN",0,2,0,4,4,19.2,7.779661268449598,4.576271334382117,0.9152542668764233,0.2786885245901639,0.83969466,0.396825396,0.064516129,87.80675262765786,2.74576280062927,3.8235862042498856,4.214706001237905,5.269286875091568,0.24099148091288364,"Bailey Ober",21224,641927
"Max Scherzer","TOR",2,3,0,6,6,32.2,7.9897960738706795,3.8571429322134314,0.8265306283314496,0.23863636363636365,0.66091954,0.241758241,0.057692307,92.795150452876,4.408163351101065,3.8256929355563227,3.8919802801155243,5.098186365601958,0.5841247442388443,"Max Scherzer",3137,453286
