pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-23,93.3,-1.36,5.65,"Buehler, Walker",665019,621111,field_out,hit_into_play,,,,,8.0,"Kody Clemens grounds out, first baseman Ty France to pitcher Walker Buehler.",R,L,R,SD,MIN,X,3.0,ground_ball,0,0,2026,-0.58,1.33,0.1072982456047793,1.7046515159060045,,,,0,2,Top,163.4,158.85,,,,,5.02743403027507,-135.7337872837255,-7.123025247312654,-8.297589064170673,29.828490923515453,-14.363967087677567,3.211228675,1.620620079,8.0,90.2,-13.0,93.2,2235.0,6.3,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.24,0.143,0.141,0.0,1.0,0.0,0.0,2.0,8,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,206.0,0.023,-0.259,76.5,7.7,,0.168,0.259,90.2,0,0,0.5,0.5,31,30,32,30,1,0,6,1,6.0,1.0,1.29,0.58,-0.58,50.2,16.463412694318187,-9.497111804756909,36.78485080178479,32.76691580726916,34.978664278839155
FF,2026-08-23,94.2,-1.19,5.66,"Buehler, Walker",668904,621111,,ball,,,,,12.0,,R,R,R,SD,MIN,B,,,0,0,2026,-0.41,1.4,1.0336038665176883,2.6327792903266807,,,,1,2,Top,,,,,,,6.628831430312144,-137.07660887616686,-5.145001173423735,-6.654842837153563,29.58420008814576,-13.589828222980762,3.205085302,1.617519685,,,,94.4,2177.0,6.3,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.15,,,,,,,,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202.0,-0.003,0.041,,,,,-0.041,,0,0,0.523,0.477,31,27,32,27,1,0,6,1,6.0,1.0,1.17,0.41,0.41,47.7,,,,,
FF,2026-08-23,95.1,-1.28,5.69,"Buehler, Walker",668904,621111,,foul,,,,,4.0,,R,R,R,SD,MIN,S,,,1,0,2026,-0.68,1.37,-0.5044959900173224,2.643650666030893,,,,1,2,Top,,,,,,,3.5483288188315383,-138.40091683034333,-5.269489560994548,-9.468210682908063,29.511313398013833,-13.6203742734133,3.205085302,1.617519685,246.0,77.6,30.0,95.3,2191.0,6.3,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.18,,,,,,,,9,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,197.0,0.004,-0.05,78.3,8.1,,,0.05,88.0,0,0,0.52,0.48,31,27,32,27,1,0,6,1,6.0,1.0,1.14,0.68,0.68,48.5,11.684892271709398,-12.377757439667414,29.253432020263148,30.915983735608823,34.40651369915035
ST,2026-08-23,84.0,-1.32,5.42,"Buehler, Walker",668904,621111,,ball,,,,,14.0,,R,R,R,SD,MIN,B,,,1,1,2026,0.88,0.55,1.7685158382786392,1.6774283222567243,,,,1,2,Top,,,,,,,5.3203723401440435,-122.22280352467172,-3.171043602663844,7.771730744199341,23.76569251663974,-26.28043210069172,3.205085302,1.617519685,,,,84.5,2615.0,6.6,823258,669134,664034,630105,592518,593428,650859,701538,665487,53.93,,,,,,,,9,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,81.0,-0.004,0.056,,,,,-0.056,,0,0,0.524,0.476,31,27,32,27,1,0,6,1,6.0,1.0,2.68,-0.88,-0.88,44.9,,,,,
ST,2026-08-23,82.9,-1.52,5.4,"Buehler, Walker",668904,621111,,swinging_strike,,,,,14.0,,R,R,R,SD,MIN,S,,,2,1,2026,1.02,0.28,0.8775537447796876,1.7012180617372723,,,,1,2,Top,,,,,,,3.408289080761554,-120.76823110809018,-2.344656107377724,9.33246043464365,22.807063200436655,-29.202960586668308,3.205085302,1.617519685,,,,83.3,2668.0,6.4,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.06,,,,,,,,9,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,98.0,0.006,-0.075,76.3,8.9,8.958917808,,0.075,,0,0,0.52,0.48,31,27,32,27,1,0,6,1,6.0,1.0,3.02,-1.02,-1.02,40.4,22.81390526848358,-39.59407034811144,26.79648335383403,44.600088921707155,55.1881447639848
ST,2026-08-23,84.8,-1.22,5.59,"Buehler, Walker",668904,621111,field_out,hit_into_play,,,,,5.0,"Royce Lewis grounds out, third baseman Manny Machado to first baseman Ty France.",R,R,R,SD,MIN,X,5.0,ground_ball,2,2,2026,0.51,0.79,0.2707539441671802,2.3399160393199883,,,,1,2,Top,103.67,163.84,,,,,2.422918128556843,-123.56495457803956,-2.7202275419462865,4.751208323247498,23.248712330980737,-23.730067174631305,3.205085302,1.617519685,26.0,88.2,-4.0,85.4,2648.0,6.5,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.05,0.167,0.15,0.0,1.0,0.0,0.0,2.0,9,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,98.0,0.014,-0.233,71.5,8.0,,0.186,0.233,88.2,0,0,0.526,0.474,31,27,32,27,1,0,6,1,6.0,1.0,2.36,-0.51,-0.51,47.0,20.710240795542767,-14.499919031406026,28.662791646695396,38.922541226838725,36.4809663920923
SI,2026-08-23,94.7,-1.61,5.45,"Buehler, Walker",686797,621111,,called_strike,,,,,5.0,,R,L,R,SD,MIN,S,,,0,0,2026,-1.0,0.88,-0.1759052884672728,2.31121485280078,,,,2,2,Top,,,,,,,5.973081949731915,-137.7890011196844,-4.306184997923022,-14.10479495920002,30.83412574331969,-20.213058145107492,3.208595801,1.619291339,,,,94.6,2165.0,6.3,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.23,,,,,,,,10,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,215.0,0.002,-0.045,,,,,0.045,,0,0,0.54,0.46,31,25,32,25,1,0,6,1,6.0,1.0,1.66,1.0,-1.0,39.4,,,,,
CH,2026-08-23,90.4,-1.39,5.53,"Buehler, Walker",686797,621111,field_out,hit_into_play,,,,,5.0,"Brooks Lee grounds out sharply, second baseman Jake Cronenworth to first baseman Ty France.",R,L,R,SD,MIN,X,4.0,ground_ball,0,1,2026,-0.87,0.34,-0.2398855328525123,2.2911895881659077,,,,2,2,Top,148.54,157.65,,,,,4.713392778113102,-131.60497105776577,-2.695397591517533,-11.154303430449025,26.813288652432146,-27.85943697197574,3.208595801,1.619291339,38.0,101.3,-2.0,90.5,1119.0,6.3,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.24,0.335,0.302,0.0,1.0,0.0,0.0,2.0,10,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,238.0,0.009,-0.217,77.7,7.0,,0.379,0.217,101.3,0,0,0.542,0.458,31,25,32,25,1,0,6,1,6.0,1.0,2.44,0.87,-0.87,42.8,15.03781960503618,-5.859518242122356,31.00948646358798,37.66054126222478,29.68588988474979
FC,2026-08-23,90.4,-1.44,5.65,"Buehler, Walker",702176,621111,,called_strike,,,,,5.0,,R,L,R,SD,MIN,S,,,0,0,2026,0.44,1.01,0.2250311535556454,2.4078580658245823,,,,0,3,Top,,,,,,,3.1600864945028864,-131.8267148556573,-4.235273606588356,4.638517979325289,23.35918563183619,-19.67914357120692,3.159448819,1.594488189,,,,91.4,2500.0,6.4,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.1,,,,,,,,15,1,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,166.0,0.004,-0.041,,,,,0.041,,0,0,0.5,0.5,31,26,32,27,1,0,6,5,6.0,3.0,1.73,-0.44,0.44,43.1,,,,,
SI,2026-08-23,94.6,-1.48,5.56,"Buehler, Walker",702176,621111,,ball,,,,,13.0,,R,L,R,SD,MIN,B,,,0,1,2026,-1.14,0.92,-0.9425613896608254,1.996327355278274,,,,0,3,Top,,,,,,,3.947305138463476,-137.80942096907674,-5.526784313058602,-15.400182235376285,27.802759478167005,-19.49077985644731,3.159448819,1.594488189,,,,94.9,2137.0,6.2,823258,669134,664034,630105,592518,593428,650859,701538,665487,54.3,,,,,,,,15,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,214.0,-0.003,0.029,,,,,-0.029,,0,0,0.504,0.496,31,26,32,27,1,0,6,5,6.0,3.0,1.61,1.14,-1.14,40.5,,,,,
