Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Nick Pivetta","SDP",14,115.33484536082474,127.8,100.87692307692308,,98.57176470588237,108.68962962962962,,,,96.65417803970223,110.58503877171216,106.19137717121588,"Nick Pivetta",15454,601713
"Walker Buehler","SDP",29.2,110.86039215686274,115.2512962962963,110.87038461538461,,105.55215686274511,,52.79435897435898,78.43352941176471,,93.3307233273056,104.36886678722121,97.05700120554549,"Walker Buehler",19374,621111
"Michael King","SDP",36,116.03319444444443,107.90818181818182,,,93.14426666666667,,92.70471544715446,,,92.45274518388791,102.83029553415061,95.24430531231758,"Michael King",19853,650633
"Randy Vásquez","SDP",16.2,105.83857142857144,101.45130434782608,107.00232558139534,,85.63857142857144,,88.37357142857142,,,93.41973214285713,101.20017857142855,94.93053571428572,"Randy Vasquez",24719,681190
"Casey Mize","SDP",25.1,102.56602409638553,91.8053846153846,,81.16641509433961,114.4848120300752,102.52470588235295,,,,84.82203522504892,100.24167135518591,88.59725599315068,"Casey Mize",20492,663554
"Robbie Ray","SDP",28,77.775625,70.88987951807229,,,87.36399999999999,,93.73470588235293,86.22444444444444,,92.67450877262146,84.4791997662911,81.63933692244116,"Robbie Ray",11486,592662
