Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Walker Buehler","SDP",29.2,83,89.69876513069059,103.4,110,15.037037037037036,8,0.09638554,31,0.37349398,3.6404496332473775,3.8347231771275587,"Walker Buehler",19374,621111
"Randy Vásquez","SDP",16.2,49,92.08979392538265,104.7,106.7,14.040816326530612,3,0.06122449,22,0.44897959,2.160000082397464,4.164491239649788,"Randy Vasquez",24719,681190
"Michael King","SDP",36,100,86.37979773319128,101.2,108.1,14.121212121212121,7,0.07,34,0.34,2.5,4.489646885519991,"Michael King",19853,650633
"Nick Pivetta","SDP",14,42,91.59024568883385,105.6,114.3,19.70731707317073,6,0.14285714,17,0.4047619,1.9285714285714286,4.645276926423686,"Nick Pivetta",15454,601713
"Casey Mize","SDP",25.1,94,90.1236552576865,105.5,113,18.827956989247312,9,0.09574468,41,0.43617021,7.1052635145319645,5.181781845311636,"Casey Mize",20492,663554
"Robbie Ray","SDP",28,84,89.30722891566265,104.3,111.6,16.325301204819276,4,0.04761905,28,0.33333333,5.464285900398183,5.629418558590667,"Robbie Ray",11486,592662
