Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Robbie Ray","- - -",127.2,91.70444447441018,127.62038260297071,71.85720498174851,95.96705300957098,93.1209597160579,129.59168148586141,94.18651133555817,101.67151903773937,91.74583976197152,108.65587361319614,79.34716375744354,110.38317318641108,114.27369493589055,103.80719575199126,81.33113152417685,118.49108790563474,"Robbie Ray",11486,592662
"Joe Ryan","MIN",125.2,114.62234617923632,56.470202587480465,202.97845964672172,104.25570585236632,117.38531856587035,57.83141879349804,98.68038497746974,87.64540672827013,102.6629309706693,94.73411453653979,87.32801564044249,82.42561650841797,87.59393673407307,90.89164808162586,86.90692739263477,118.15457810657017,"Joe Ryan",21390,657746
"Reid Detmers","LAA",129,121.3701371617599,79.46036671846306,152.74298802568032,101.5617579093907,125.90755039240196,82.43098802767321,88.34105907855232,84.78359821540008,93.64103703688318,95.15183108356227,98.00852302765489,82.81558126666184,86.38036206744427,98.31818204112653,84.51308386350782,116.97828451215962,"Reid Detmers",27468,672282
"Shota Imanaga","CHC",132.2,101.20212138694338,57.44365530303006,176.17631715685334,144.2971991406565,107.59151791695784,61.07036382656865,95.71137612320416,83.4514928125345,90.23151631984558,114.79832885646752,87.32728298218474,105.6056599416914,91.15015604527645,95.7479910254237,87.18823517682664,116.12986649471262,"Shota Imanaga",33829,684007
"Keider Montero","DET",122.1,73.37767387837847,60.15737739894298,121.97618613412193,81.89729273171534,77.76241388996607,63.7521299491456,87.36005233074174,78.07106254462714,80.33287931846311,98.6952839413925,81.32076039455738,93.39098236946649,110.52979493021205,69.71440398594312,99.18725402924653,115.82237256812434,"Keider Montero",22630,672456
"Chase Burns","CIN",124,123.86703430040976,97.48594370114732,127.0614238796452,80.27888721580032,130.68554448476687,102.85225960867155,84.4918557731802,85.58960199070314,93.1199595082974,113.30233689466776,59.39981544785705,74.10586980535726,85.08854765876985,105.52891710608554,84.5046014008217,114.16072446454768,"Chase Burns",35333,695505
"Sean Burke","CHW",128.2,116.81718717508147,79.66622416541519,146.6332684830247,83.8557779989559,122.0224034649829,83.21604562195054,91.75204240934666,86.20047534728108,99.08528337623687,110.82224665940058,73.95154840623427,78.87787571135458,88.62697095980991,109.16978977559846,83.57857688436934,112.58692344219254,"Sean Burke",29878,680732
"Jacob deGrom","TEX",118.2,126.6613323727144,66.44590012763568,190.62324906367397,110.40562121702875,131.81432466020738,69.1491358073029,95.26268864355556,86.97396602467859,102.7578427712585,104.25708259667607,94.50227025647406,78.6616307277782,76.67283538655626,105.9299120584262,85.56127172196119,112.12174980672607,"Jacob deGrom",10954,594798
"Logan Gilbert","SEA",139.1,108.62337313319502,60.362974933322086,179.9503327749526,105.0919832773077,117.49842450002146,65.29492063357925,87.29073588296956,76.8374598235803,88.10918213574685,107.29571191545877,88.21357658744058,90.13095350272933,85.43538340615561,93.807392708366,91.67356753978099,111.74315173071668,"Logan Gilbert",22250,669302
"Justin Wrobleski","LAD",117,83.54047068590184,53.90527098747947,154.97643366472812,104.71618161482435,88.44934574357421,57.07277138576369,94.03330504835068,81.57405342531506,87.78352265962089,111.33389477644596,79.29462062075211,92.8476029589582,99.05462560456816,94.64579842138667,93.59597936903786,109.68063567926869,"Justin Wrobleski",31204,680736
"Taj Bradley","MIN",131.2,117.32652342877911,109.78994068632828,106.86454868141129,99.50481860146904,118.41952364143913,110.8127335849669,91.42216319777738,95.93592132774029,96.26343076911242,108.26400157730089,89.88565438361864,92.68550916374502,93.99685917908577,109.10704882420725,86.70714136775553,109.35609881516521,"Taj Bradley",22543,671737
"Nick Martinez","TBR",129,59.06680008538983,40.748906009468236,144.95309564216873,89.61331580240356,62.57370721767496,43.16824614550585,102.73832767172541,84.78359821540008,91.37793855856364,119.44587674805159,63.308732993121275,94.96842527643659,111.05007899141428,112.66113868988836,85.95281795173454,108.3852047047253,"Nick Martinez",12730,607259
"Michael Wacha","KCR",144,81.18313619042162,74.8336680153047,108.48477588698991,90.9824081271625,85.17233274101326,78.51086494551903,96.86694114247658,88.78892665221915,91.78202609173805,105.32204498636982,80.39039735251346,97.44977788964566,105.4875203518997,102.127422208511,91.03344330267669,108.29662979891823,"Michael Wacha",14078,608379
"Aaron Nola","PHI",125,110.84627701275645,90.39914496352898,122.61871675784607,177.65101295250682,108.78926469301749,88.72158172236122,114.09126073113947,110.55960542884822,110.92370615259213,101.50094493327319,128.4250188266955,118.7858939089074,93.52384421870418,95.90301463292373,94.43499091146703,108.13384693522059,"Aaron Nola",16149,605400
"Kevin Gausman","- - -",134.1,101.87853800525876,72.39219260298924,140.7314888119333,91.75574652552598,103.063596902295,73.23358093463946,104.38986469460094,96.87341733247618,106.08109467767075,93.77413872485711,103.92500106936888,84.18557449144102,92.94163889356568,98.94946886331317,93.08458540484422,107.77358783497941,"Kevin Gausman",14107,592332
"Andrew Abbott","CIN",128.2,82.643854847538,124.5861235279064,66.33471559562511,101.1725234935724,81.83469027352761,123.36630913899367,98.74118968399385,106.22210586247247,92.9937055949429,105.81357806243814,89.0484350346352,105.96027572103388,115.41667012458099,85.81872917208602,99.62626790841318,107.5149769124073,"Andrew Abbott",29911,671096
"Bryan Woo","SEA",127.1,104.10508044748616,55.73106490846923,186.79901718722803,78.68143277672654,108.02851768811847,57.83141879349804,98.0293444361863,85.89333460729871,101.54297172371653,88.51410248341676,111.09699612587598,80.6154076670714,88.98783090929665,104.88743902257949,91.42032568957102,106.52854885090728,"Bryan Woo",30279,693433
"Paul Skenes","PIT",129.2,134.19245223897727,72.95919640474526,183.9280751367691,76.77056140650213,139.70071036258702,75.9539887539324,92.33151743061148,85.38224729642849,106.74581939800993,91.1142427042384,92.60186237548929,69.29318904023832,74.5607644796484,100.28387873821801,94.2106270716813,106.1836391176683,"Paul Skenes",33677,694973
"Tanner Bibee","CLE",138,83.20010851813396,72.37360045594686,114.95919625132478,128.44575265011176,87.54216104449688,76.15064040460182,95.33355807417865,87.06803074539248,86.20056703976651,106.14616114843851,93.80046151984959,111.74318260797556,102.24652699496058,106.94846908275267,92.38443589300078,104.50426985139629,"Tanner Bibee",30134,676440
"MacKenzie Gore","TEX",128.2,113.57227204346727,96.00801943068167,118.29456944426806,95.8351805385746,113.86155108468228,96.25256255785294,95.54453091764893,95.77831162067635,99.99373158197518,97.35897749284679,111.08313825863729,90.20455042758934,92.92753997338721,107.01758543760059,92.46897078275099,104.38195862403931,"MacKenzie Gore",22201,669022
"Michael King","SDP",136.1,94.54108806161355,106.01480187826719,89.17724851771932,84.24980390752597,98.48377082954023,110.43598385284827,87.68542216929912,89.60780462159447,87.00896216556538,109.09637039382523,83.43654657275185,99.71393032821511,103.8430579849207,83.20996841872089,104.13721611079427,103.8933041266742,"Michael King",19853,650633
"Colin Rea","CHC",121.2,79.4533651702579,92.87583013928081,85.54794192312812,119.58086126481793,78.34785755137541,91.58356850002517,106.59332991470052,104.17520868446309,98.35795723063913,102.74757407811006,111.39250011267842,117.5592359579825,112.83361255137189,94.5994640922036,99.16704210699982,103.61650623768517,"Colin Rea",12317,607067
"Eduardo Rodriguez","ARI",136.1,72.48150084723704,86.7393833549459,83.56238473532936,73.01649671985584,75.10117686680049,89.87438252547504,99.14582689051447,94.64824363155917,93.7669398094928,113.4766482221125,63.9190333285768,97.46070390028159,107.64703104970809,105.25241154886035,97.11045308022456,100.52521719495529,"Eduardo Rodriguez",13164,593958
"Seth Lugo","KCR",134.2,80.60900411691831,89.77872271994273,89.78631295614066,91.56529593461202,80.88606257657148,90.08730032566471,111.65181688208443,105.80954840253858,107.1427679584803,96.05884519811657,103.1544186523911,102.79080481572113,109.36003505315601,101.61598765849385,98.76366699890646,100.48996624188187,"Seth Lugo",12447,607625
"Cam Schlittler","NYY",139.2,127.79494275183147,58.33707171858155,219.06300798631224,71.73343271898995,137.0690849890146,62.57062253162452,82.24788710627146,73.34527045591953,92.84559026634291,111.15112691577454,54.949108046533254,62.68686192426853,69.87192908455094,96.01834128549879,102.45869324720904,99.40533338117713,"Cam Schlittler",32095,693645
"Merrill Kelly","ARI",120,71.606117730773,109.49508169331766,65.39664893751791,146.76627329452725,70.71602800479072,108.13402453580818,111.77068834455723,111.9848605422725,98.75397358736346,104.34774759560806,115.12787517912982,136.90585252427937,117.01834261001383,107.04173474265659,97.56239228880045,99.1347189992526,"Merrill Kelly",11156,518876
"Freddy Peralta","- - -",117.1,106.1111271013769,109.74429719061635,96.68934409324622,124.08136153328027,100.1424793033846,103.57234038818302,111.87444071680895,115.88841746998885,111.94945839837249,92.65664256856063,132.03487432569474,109.69616109944002,101.00983298135964,108.68790232409215,97.18036815243055,98.7319193423431,"Freddy Peralta",18679,642547
"Noah Cameron","KCR",123.2,97.90742694540671,85.01254420464328,115.16821294022783,87.24617340556237,97.92278560393196,85.02588232487443,102.69656978214199,99.02792711500126,103.34840508603587,94.2911244620577,102.11806626942389,90.22852490677239,95.99252973598256,119.72286946530848,91.92821645679257,98.66350247416787,"Noah Cameron",30184,702070
"Joey Cantillo","CLE",118.2,113.46744358388996,124.0323469049199,91.48213959491814,97.41672460326068,111.2183365432683,121.57382871036826,107.6145186121187,112.93634394249312,114.29449639815101,103.59418094497006,94.29170572148318,98.3177432867953,96.11986445597546,88.95816956979571,106.97892962453466,98.1834944587728,"Joey Cantillo",23335,676282
"Bryce Elder","ATL",126.2,88.18858887059817,87.13503518117585,101.20909953837337,114.86056401485666,90.19301370343426,89.11551914965811,93.75495801901495,91.62397864688093,87.4896746637177,103.98913385408335,87.70350739652005,107.39574722558763,98.92768426942531,102.41168887863307,101.5534148586319,97.09407319830818,"Bryce Elder",27779,693821
"Gavin Williams","CLE",144.2,133.47919479440037,74.48881764016116,179.19360299464117,117.19935858544895,143.6327556807924,80.15507094300618,86.064720741953,79.86123551765962,94.14150191776788,105.34667020732866,86.44471790175477,83.58708343189468,67.85366527232331,87.27180265308706,109.18160596687751,96.72081939223266,"Gavin Williams",30122,668909
"Shane Baz","BAL",136.1,91.87333952850068,88.68117993201736,103.59959187552488,56.528695206795966,92.20172977219265,88.99816135677143,105.60470476915494,101.69127160067724,108.01384737277691,95.01241449909,91.96969759415533,81.6034321972912,99.80324681047078,119.47135111649348,94.23437401591086,96.38346353421197,"Shane Baz",22264,669358
"Foster Griffin","- - -",133.1,98.14301169067765,63.06980317672964,155.61050339006817,120.67765596531974,102.54419643917805,65.89608668167315,95.01309357937214,84.7972991527381,91.34084311656552,111.19994611247606,79.07604220003653,99.6054629970519,88.87045312853083,95.8150956052329,106.16223202987369,95.26035359312252,"Foster Griffin",16432,656492
"Sandy Alcantara","MIA",163.2,84.00229404576744,67.43648627710284,124.56504556996993,79.53685011863665,87.12550433667138,69.9437828257522,99.20979194012128,89.57130672303465,96.43493306683499,102.39892706865197,82.81833579917884,89.45106963191594,96.94071653275947,102.46252749981268,103.67256514390735,94.75305875034606,"Sandy Alcantara",18684,645261
"Parker Messick","CLE",136.2,103.86916316378931,73.07968980238326,142.13136989917592,73.30806916417288,111.62873620897307,78.53912911544528,86.3614036211955,80.02745110147274,89.56861774123107,110.91607300942925,62.60861365971986,77.98963430283212,83.17270902001707,94.32999688904505,107.77427300601306,94.69811692273588,"Parker Messick",31986,800048
"George Kirby","SEA",132,88.56342129864177,55.751912312954275,158.85270755306163,93.4150928364449,91.7602481404108,57.76436042323429,114.2121777908013,98.02764300705027,112.5144243466426,105.26129392481096,94.87120154592917,92.52927863812968,91.74879563526972,92.58911484766654,109.16729809702468,94.10654166747665,"George Kirby",25436,669923
"Yoshinobu Yamamoto","LAD",139.1,97.90166932296098,60.3532721125795,162.21434404423388,82.43581284808329,109.31298257064535,67.38798794162811,76.51996024891983,67.95079867730671,75.48946576618067,110.91769326737084,63.48775603701645,79.25880276500602,82.31471572696572,87.920112504776,111.86178203402042,93.09250537503341,"Yoshinobu Yamamoto",33825,808967
"Michael McGreevy","STL",120.1,72.30036292543697,65.51506549982598,110.35684508206147,101.8154606658836,76.30470001888051,69.1436038805347,103.11739862485251,91.37017463942165,94.74309213583786,107.81425500351438,87.5140211768412,102.19494882935092,98.66670247915992,104.35367182715926,105.29000737235347,92.03802240350612,"Michael McGreevy",29869,700241
