player_id,player_name,player_team,bip,ground_ball_percent,line_drive_percent,fly_ball_percent,pop_up_percent,pull_percent,straight_percent,oppo_percent,pulled_air_percent
801957,Dub Gleed,NH,207,0.4203,0.2367,0.2802,0.0628,0.3333,0.4589,0.2077,0.1353
694222,Ambioris Tavarez,COL,149,0.604,0.2483,0.1477,0,0.2819,0.443,0.2752,0.0201
682003,Garrett Martin,SOM,194,0.3763,0.1649,0.3196,0.1392,0.4485,0.3866,0.1649,0.1959
696501,Mark Coley II,BLX,156,0.391,0.2372,0.2628,0.109,0.391,0.4231,0.1859,0.1667
684976,Johnathon Thomas,HBG,183,0.5027,0.1858,0.1694,0.1421,0.3989,0.3989,0.2022,0.1311
694304,Cole Fontenelle,RCT,167,0.3473,0.3054,0.2695,0.0778,0.3413,0.3533,0.3054,0.1198
810891,Jay Beshears,PNS,178,0.3539,0.2584,0.2753,0.1124,0.3596,0.4213,0.2191,0.1798
695744,Ian Moller,FRI,154,0.3636,0.2403,0.2662,0.1299,0.3117,0.474,0.2143,0.1364
680998,Branden Boissiere,HBG,176,0.3693,0.2614,0.2955,0.0739,0.3864,0.4432,0.1705,0.1477
701339,Marek Houston,WCH,194,0.4124,0.2577,0.2835,0.0464,0.3402,0.4175,0.2423,0.1186
702501,Eli Serrano III,BNG,173,0.3931,0.2081,0.3006,0.0983,0.3931,0.3815,0.2254,0.1503
806210,Alfonsin Rosario,AKR,163,0.3558,0.2699,0.2638,0.1104,0.5031,0.3006,0.1963,0.2577
815304,Josh Adamczewski,BLX,187,0.3743,0.2727,0.2995,0.0535,0.492,0.3316,0.1765,0.2353
683427,Omar Hernandez,NWA,193,0.4663,0.2435,0.2383,0.0466,0.3264,0.4663,0.2021,0.114
702556,Austin Overn,MTG,158,0.4684,0.1646,0.3038,0.0633,0.4367,0.3797,0.1835,0.1582
688394,Jordan Sprinkle,BIR,190,0.4632,0.1947,0.2263,0.1158,0.2895,0.4368,0.2684,0.0684
680996,Luke Mann,MID,163,0.4233,0.2331,0.2761,0.0613,0.4417,0.3988,0.1534,0.1472
805782,Ryan Lasko,MID,178,0.5281,0.2191,0.1966,0.0562,0.3539,0.427,0.2191,0.0843
694211,Manuel Pena,AMA,193,0.3834,0.2073,0.3731,0.0363,0.4249,0.3212,0.2539,0.1917
701860,Carter Cunningham,NH,145,0.2759,0.2552,0.4138,0.0552,0.469,0.3517,0.1793,0.2414
689196,Owen Ayers,KNX,163,0.3681,0.2761,0.2945,0.0613,0.4601,0.3804,0.1595,0.1963
827719,Jake Munroe,RCT,186,0.3817,0.2742,0.3065,0.0376,0.4194,0.3602,0.2204,0.2043
700652,Kenny Piper,MTG,165,0.2727,0.2485,0.3455,0.1333,0.4667,0.3515,0.1818,0.2667
803849,Devin Fitz-Gerald,HBG,180,0.4056,0.2556,0.2611,0.0778,0.3111,0.4611,0.2278,0.1278
701337,Ethan Petry,HBG,157,0.3885,0.2357,0.2611,0.1146,0.3949,0.3949,0.2102,0.1592
684491,Frank Rodriguez,TUL,188,0.3936,0.2447,0.2553,0.1064,0.3032,0.4734,0.2234,0.1277
678636,Orlando Martinez,FRI,194,0.3918,0.2526,0.2938,0.0619,0.3196,0.3969,0.2835,0.1237
691588,Ian Lewis Jr.,PNS,201,0.4876,0.1443,0.2736,0.0945,0.398,0.408,0.194,0.1095
694387,Christian Knapczyk,AKR,158,0.4241,0.2468,0.2405,0.0886,0.3987,0.3544,0.2468,0.1203
683610,Leandro Pineda,HBG,190,0.4684,0.2158,0.2632,0.0526,0.3789,0.4053,0.2158,0.1
815394,Theo Gillen,MTG,176,0.5057,0.267,0.2102,0.017,0.3693,0.4148,0.2159,0.0682
700164,Bryant Betancourt,HFD,201,0.3433,0.1891,0.3632,0.1045,0.4925,0.3184,0.1891,0.2537
686540,Owen Cobb,SOM,195,0.5026,0.1744,0.2256,0.0923,0.2821,0.441,0.2769,0.1128
823702,Alex Madera,KNX,167,0.5449,0.2934,0.1257,0.0359,0.2515,0.3413,0.4072,0.024
691913,Jesus Castillo,ALT,182,0.4176,0.2418,0.2912,0.0495,0.2637,0.4396,0.2967,0.0879
814430,Brett Callahan,ERI,171,0.4269,0.2164,0.2865,0.0702,0.4503,0.3626,0.1871,0.1813
811765,Deniel Ortiz,SPR,172,0.3953,0.2616,0.3081,0.0349,0.3663,0.5116,0.1221,0.2093
805796,Arjun Nimmala,NH/RCT,166,0.3855,0.3072,0.259,0.0482,0.3855,0.4036,0.2108,0.1747
828824,Josiah Ragsdale,BLX/SPR,144,0.3611,0.2292,0.3819,0.0278,0.4167,0.3819,0.2014,0.1458
683341,David Calabrese,RCT,185,0.4216,0.2,0.2973,0.0811,0.3622,0.4757,0.1622,0.1243
699115,Carlos Jorge,CHA,179,0.5363,0.2291,0.1955,0.0391,0.4246,0.3575,0.2179,0.1453
671748,Casey Yamauchi,MID,215,0.5535,0.2186,0.1721,0.0558,0.3209,0.4558,0.2233,0.1116
805117,Jean Carlos Sió,RIC,168,0.3512,0.244,0.2857,0.119,0.4048,0.3452,0.25,0.1845
807728,Carter Graham,CHA,158,0.4114,0.2152,0.2975,0.0759,0.3734,0.4177,0.2089,0.1582
807726,John Peck,ERI,177,0.5254,0.2203,0.226,0.0282,0.2881,0.3955,0.3164,0.0565
700243,Payton Green,PNS,139,0.3237,0.2662,0.295,0.1151,0.4245,0.3885,0.1871,0.223
694742,Josh Moylan,SOM,160,0.375,0.2437,0.2938,0.0875,0.5,0.35,0.15,0.2
806077,Kendall George,TUL,175,0.6114,0.2743,0.1029,0.0114,0.2229,0.3943,0.3829,0.0171
800305,Jesús  Báez,SPR,199,0.3467,0.2312,0.3417,0.0804,0.4623,0.3769,0.1608,0.2513
806273,Adam Retzbach,CHE,131,0.5038,0.1832,0.2595,0.0534,0.313,0.5038,0.1832,0.0992
668843,Conner Capel,HFD,180,0.3278,0.2667,0.3056,0.1,0.35,0.4611,0.1889,0.1444
800176,Carlos Sanchez,CHA,145,0.6,0.1448,0.2207,0.0345,0.4207,0.3793,0.2,0.069
815734,Dylan Jasso,PNS,162,0.3457,0.3148,0.3148,0.0247,0.3704,0.4198,0.2099,0.1914
815074,Derek Berg,ALT,153,0.4248,0.2614,0.2614,0.0523,0.3268,0.3856,0.2876,0.1307
691006,Kevin Parada,BNG,158,0.4304,0.2278,0.2848,0.057,0.2658,0.4747,0.2595,0.0886
695692,Cooper Kinney,MTG,165,0.3939,0.2727,0.2667,0.0667,0.4061,0.3333,0.2606,0.1394
800683,Blake Rambusch,ARK,175,0.5429,0.2171,0.2,0.04,0.1771,0.48,0.3429,0.0514
694896,Caden Rose,POR,141,0.4397,0.2199,0.1986,0.1418,0.4184,0.2979,0.2837,0.1418
805891,Taylor Young,TUL,174,0.546,0.2069,0.2126,0.0345,0.2529,0.454,0.2931,0.0575
693850,Kala'i Rosario,WCH,126,0.3889,0.254,0.2778,0.0794,0.4048,0.4683,0.127,0.2381
813852,Trey Paige,SPR,151,0.4503,0.2583,0.2583,0.0331,0.3377,0.4636,0.1987,0.106
800419,Jeral Perez,BIR,148,0.4527,0.25,0.25,0.0473,0.3378,0.4122,0.25,0.1216
695722,Boston Smith,ARK/BIR,119,0.3613,0.2101,0.3529,0.0756,0.4958,0.4118,0.0924,0.1933
806263,Brandon Winokur,WCH,159,0.4025,0.239,0.2642,0.0943,0.3522,0.4151,0.2327,0.1635
701618,Damon Keith,BLX,150,0.4333,0.2333,0.2867,0.0467,0.32,0.44,0.24,0.1133
800607,Kehden Hettiger,REA,121,0.2893,0.3223,0.281,0.1074,0.3554,0.4298,0.2149,0.157
801075,Walker Janek,CC,143,0.4406,0.2098,0.2797,0.0699,0.3287,0.4545,0.2168,0.0979
693832,Tre Richardson III,SPR,151,0.4106,0.2914,0.2318,0.0662,0.3113,0.5033,0.1854,0.1391
814408,Jackson Hornung,NH,150,0.58,0.2267,0.1733,0.02,0.2733,0.48,0.2467,0.08
700845,Adam Zebrowski,COL,138,0.3913,0.2246,0.3261,0.058,0.3551,0.4348,0.2101,0.1232
801442,Jack Pineda,NWA,181,0.5525,0.232,0.1878,0.0276,0.2541,0.4586,0.2873,0.0552
804614,Marco Vargas,BNG,142,0.4648,0.2324,0.2606,0.0423,0.3873,0.4155,0.1972,0.1197
694563,Harold Coll,RCT,148,0.4189,0.2027,0.2905,0.0878,0.2973,0.473,0.2297,0.1216
686445,Sammy Siani,ARK,166,0.4819,0.2169,0.2289,0.0723,0.4759,0.3855,0.1386,0.1205
701831,Carson DeMartini,REA,134,0.3955,0.2537,0.306,0.0448,0.4403,0.3806,0.1791,0.1642
595751,Jorge Alfaro,NWA,114,0.4474,0.2368,0.2719,0.0439,0.3333,0.4386,0.2281,0.0965
695604,T.J. White,HBG,145,0.3724,0.2414,0.3241,0.0552,0.3793,0.3931,0.2207,0.1448
678099,Gavin Logan,AMA,137,0.3504,0.2117,0.365,0.073,0.3796,0.3504,0.2701,0.1241
681132,Max Ferguson,POR,137,0.3066,0.2482,0.2847,0.1606,0.4526,0.3504,0.1971,0.1971
691710,Vincent Perozo,BNG,129,0.4341,0.2248,0.3023,0.0388,0.4729,0.3101,0.2171,0.1783
822578,Brandon Butterworth,CHE,143,0.3427,0.2378,0.3217,0.0979,0.4406,0.3566,0.2028,0.1888
690988,Austin Hendrick,CHA,144,0.3333,0.2569,0.3125,0.0972,0.4444,0.4028,0.1528,0.2431
813715,Khadim Diaw,WCH,164,0.4085,0.25,0.2683,0.0732,0.2988,0.4573,0.2439,0.0915
677356,Carter Young,CHE,111,0.4595,0.2342,0.2432,0.0631,0.4324,0.4414,0.1261,0.1171
668776,Devin Ortiz,HBG/KNX,144,0.5069,0.1597,0.25,0.0833,0.3681,0.3819,0.25,0.1181
800569,Alberto Barriga,AMA,162,0.4012,0.2654,0.2222,0.1111,0.3642,0.4753,0.1605,0.1543
674976,Griffin Lockwood-Powell,TUL,141,0.3759,0.2908,0.2908,0.0426,0.2908,0.4397,0.2695,0.1206
686912,Maxwell Romero Jr.,HBG,115,0.3565,0.2609,0.3217,0.0609,0.5217,0.3304,0.1478,0.2522
