,Pitches,Swing%,Whiff%,BBE w/ EV,Avg EV,Max EV,Hard-hit%,PA ending,AVG,SLG,HR
93+ mph,138,54.3%,26.7%,13 ⚠,98.7,115.0,76.9%,28,.200,.400,1
Under 93,136,52.2%,22.5%,26,95.2,111.1,65.4%,42,.367,.733,3
