Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"J.T. Realmuto","PHI","C",86,85,734,852,20,7,0,7,0,1,0,0,,49,17,3,21,0.99203641,,"J.T. Realmuto",11739,592663
"Ernie Clement","TOR","2B",97,80,731.2,115,198,8,5,3,38,19,21,3,,,,,,0.97507788,,"Ernie Clement",20352,676391
"Evan Carter","TEX","CF",97,83,727.2,230,0,1,0,1,0,0,0,0,,,,,,0.995671,,"Evan Carter",27790,694497
"Dillon Dingler","DET","C",85,82,725,705,27,3,0,2,2,0,2,0,,39,14,2,14,0.99591837,,"Dillon Dingler",27464,693307
"Matt Chapman","SFG","3B",83,82,718.2,54,172,9,4,5,16,20,0,2,,,,,,0.96170213,,"Matt Chapman",16505,656305
"Tristan Peters","CHW","CF",100,81,718.2,219,0,3,3,0,0,0,0,0,,,,,,0.98648649,,"Tristan Peters",30063,671976
"Travis Bazzana","CLE","2B",81,80,715.1,94,194,6,2,4,33,16,19,2,,,,,,0.97959184,,"Travis Bazzana",34967,683953
"Bryan Reynolds","PIT","LF",87,86,713.2,152,3,2,0,2,0,1,0,0,,,,,,0.98726115,,"Bryan Reynolds",19326,668804
"Tyler Stephenson","CIN","C",87,80,712,669,33,3,0,3,3,0,2,1,,76,17,2,20,0.99574468,,"Tyler Stephenson",17988,663886
"Michael Massey","KCR","2B",92,81,706.1,138,206,3,1,2,50,15,35,0,,,,,,0.99135447,,"Michael Massey",27684,686681
"Mike Trout","LAA","CF",82,82,704.2,205,4,2,2,0,0,0,0,0,,,,,,0.99052133,,"Mike Trout",10155,545361
"Colson Montgomery","CHW","SS",91,79,697.2,100,186,8,6,2,33,15,16,4,,,,,,0.97278912,,"Colson Montgomery",29712,695657
"Luis García Jr.","- - -","1B",97,79,694,604,71,4,2,2,59,10,1,60,7,,,,,0.99410898,,"Luis Garcia Jr.",20391,671277
"Sam Antonacci","CHW","LF",88,79,684.1,140,2,2,1,1,0,0,0,0,,,,,,0.98611111,,"Sam Antonacci",35101,803011
"Mookie Betts","LAD","SS",79,78,681.2,88,172,4,3,1,31,19,14,3,,,,,,0.98484848,,"Mookie Betts",13611,605141
