Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Merrill Kelly","ARI",6,3.75,1.6,1.725,0.15414258,0.09633911,0.05780347,0.2703862660944206,1.4666666666666666,0.2837465564738292,0.75613079,115.12787517912982,136.90585252427937,117.01834261001383,4.875,5.570341523488363,-0.6953415234883629,4.929629156614343,5.141391059041768,"Merrill Kelly",11156,518876
"Andrew Abbott","CIN",6.924871013809047,4.266839715579311,1.62295082,1.189119264997513,0.17837838,0.10990991,0.06846847,0.2388663967611336,1.391191819833692,0.2671957671957672,0.76675258,89.0484350346352,105.96027572103388,115.41667012458099,3.9170987552859255,4.688044586164753,-0.7709458308788273,4.862240207645991,5.028138641330156,"Andrew Abbott",29911,671096
"Robbie Ray","- - -",7.684073432317909,4.370757365171655,1.75806452,1.127937384560427,0.20297952,0.11545624,0.08752328,0.22784810126582278,1.3315927456616152,0.2636103151862464,0.78734859,79.34716375744354,110.38317318641108,114.27369493589055,3.2428199806112277,4.489097022351672,-1.246277041740444,4.814150540524102,4.866135945231952,"Robbie Ray",11486,592662
"Eduardo Rodriguez","ARI",6.0733498598336535,2.9706602575273306,2.04444444,0.8581907410634511,0.16370107,0.08007117,0.08362989,0.23984526112185686,1.2396088482027627,0.26941747572815533,0.82228117,63.9190333285768,97.46070390028159,107.64703104970809,2.706601567969346,3.9672038220149792,-1.2606022540456334,4.5353395360785225,4.8201134582753795,"Eduardo Rodriguez",13164,593958
"Nick Martinez","TBR",5.093023255813954,1.3953488372093024,3.65,1.0465116279069768,0.14065511,0.03853565,0.10211946,0.24596774193548387,1.1007751937984496,0.2622549019607843,0.86290323,63.308732993121275,94.96842527643659,111.05007899141428,2.6511627906976742,4.001736872325572,-1.3505740816278977,4.601104949183704,4.781304291795794,"Nick Martinez",12730,607259
"Colin Rea","CHC",6.657534385734127,3.180821984295194,2.09302326,1.4054794814327602,0.17077799,0.08159393,0.08918406,0.2578616352201258,1.3643835901627965,0.2826086956521739,0.74453552,111.39250011267842,117.5592359579825,112.83361255137189,4.586301465727955,4.8705698712714565,-0.28426840554350186,4.753560351703865,4.687819765685021,"Colin Rea",12317,607067
"Seth Lugo","KCR",6.950495574535376,3.07425765796757,2.26086957,1.069307011466981,0.18181818,0.08041958,0.1013986,0.2673076923076923,1.3737624800096628,0.3075,0.69395018,103.1544186523911,102.79080481572113,109.36003505315601,4.410891422301296,4.245424119244259,0.16546730305703683,4.53098725562451,4.605415782868332,"Seth Lugo",12447,607625
"Anthony Kay","CHW",7.293103508234875,3.336206923979783,2.18604651,1.1637931130162034,0.18111753,0.08285164,0.0982659,0.24835164835164836,1.3448275972631685,0.2832369942196532,0.78205128,95.07642144196326,112.71194449315783,114.58448356938271,3.956896584255092,4.802525445638174,-0.8456288613830818,4.74774273267684,4.547112163950757,"Anthony Kay",20387,641743
"Michael McGreevy","STL",6.058172001219858,2.2437674078592065,2.7,1.1966759508582434,0.16632444,0.06160164,0.10472279,0.24945295404814005,1.1966759508582434,0.2722222222222222,0.78125,87.5140211768412,102.19494882935092,98.66670247915992,3.5900278525747304,4.21720214374337,-0.62717429116864,4.15750017799267,4.490424221976759,"Michael McGreevy",29869,700241
"Keider Montero","DET",6.326975542603532,2.0599455254988244,3.07142857,0.9564032796958828,0.17479675,0.05691057,0.11788618,0.20915032679738563,1.0136239887375167,0.23055555555555557,0.71299639,81.32076039455738,93.39098236946649,110.52979493021205,3.3841962204623544,3.87174934272601,-0.48755312226365577,4.579519049822585,4.439139387897528,"Keider Montero",22630,672456
