Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jacob Misiorowski","MIL",11,5,1.6299212598425197,21,21,13,1,1,0,0,0,127,480,64,31,23,11,29,0,9,5,1,195,"Jacob Misiorowski",31623,694819
"Gavin Williams","CLE",11,6,3.546083198658689,24,24,9,0,0,0,0,0,144.2,573,109,60,57,22,41,0,3,5,0,185,"Gavin Williams",30122,668909
"Dylan Cease","TOR",7,5,2.2796834690902616,21,21,11,1,1,0,0,0,126.1,505,80,37,32,7,52,0,3,5,1,184,"Dylan Cease",18525,656302
"Cristopher Sánchez","PHI",15,4,2.6458799125742694,24,24,16,1,1,0,0,0,149.2,626,147,50,44,13,35,0,5,3,0,174,"Cristopher Sanchez",20778,650911
"Cam Schlittler","NYY",10,6,2.255370092669291,24,24,14,0,0,0,0,0,139.2,555,102,42,35,13,31,0,6,0,0,171,"Cam Schlittler",32095,693645
"Jesús Luzardo","PHI",10,5,3.3585368353522203,23,23,12,0,0,0,0,0,136.2,566,116,57,51,12,43,0,9,5,1,164,"Jesus Luzardo",19959,666200
"Paul Skenes","PIT",9,10,3.9562985108911284,24,24,10,0,0,0,0,0,129.2,532,109,64,57,13,36,0,8,2,0,162,"Paul Skenes",33677,694973
"Nolan McLean","NYM",8,7,3.5127553755122105,23,23,13,0,0,0,0,0,130.2,548,104,62,51,14,48,0,13,2,0,156,"Nolan McLean",33703,690997
"Chris Sale","ATL",12,7,2.1951219512195124,21,21,14,0,0,0,0,0,123,494,98,35,30,8,28,0,10,0,1,151,"Chris Sale",10603,519242
"Reid Detmers","LAA",3,8,4.116279069767442,23,23,8,0,0,0,0,0,129,530,103,62,59,17,39,0,4,3,0,150,"Reid Detmers",27468,672282
"Taj Bradley","MIN",9,4,3.7594939613434195,23,23,11,0,0,0,0,0,131.2,556,109,55,55,17,55,0,3,5,0,148,"Taj Bradley",22543,671737
"Logan Gilbert","SEA",8,7,3.4234451010469535,23,23,11,0,0,0,0,0,139.1,549,107,53,53,19,32,1,5,3,0,145,"Logan Gilbert",22250,669302
"Braxton Ashcraft","PIT",11,5,4.080604690844046,23,23,10,0,0,0,0,0,132.1,546,121,65,60,19,32,0,7,2,0,145,"Braxton Ashcraft",23793,677952
"Jacob deGrom","TEX",8,7,3.8679776109840653,22,22,8,0,0,0,0,0,118.2,486,104,51,51,17,30,3,0,3,0,144,"Jacob deGrom",10954,594798
"Sean Burke","CHW",7,6,3.0777202680858604,23,19,9,0,0,0,0,0,128.2,525,105,46,44,14,39,0,8,9,1,144,"Sean Burke",29878,680732
"Chase Burns","CIN",13,2,2.6129032258064515,22,22,10,0,0,0,0,0,124,502,93,40,36,13,46,0,1,4,0,143,"Chase Burns",35333,695505
"Cade Cavalli","WSN",9,5,3.5673577949925392,25,25,13,0,0,0,0,0,128.2,552,128,62,51,15,39,0,12,3,1,141,"Cade Cavalli",27473,676917
"MacKenzie Gore","TEX",6,9,4.546632483814021,24,24,8,0,0,0,0,0,128.2,547,113,65,65,16,47,0,6,1,0,140,"MacKenzie Gore",22201,669022
"Joe Ryan","MIN",6,8,3.652519967815692,23,23,11,0,0,0,0,0,125.2,523,116,63,51,17,27,0,5,2,0,138,"Joe Ryan",21390,657746
"Nathan Eovaldi","TEX",10,9,4.20602998950019,22,22,11,0,0,0,0,0,132.2,555,128,65,62,24,32,0,7,5,0,137,"Nathan Eovaldi",9132,543135
"Parker Messick","CLE",9,6,2.568292874092874,23,23,9,0,0,0,0,0,136.2,542,104,43,39,13,38,2,1,5,1,136,"Parker Messick",31986,800048
"Ryan Weathers","NYY",5,7,3.7933886689360232,22,22,8,0,0,0,0,0,121,503,114,57,51,17,34,0,3,5,0,132,"Ryan Weathers",23796,677960
"Kevin Gausman","- - -",6,10,4.2878413534175355,24,24,12,0,0,0,0,0,134.1,566,132,70,64,16,37,1,1,1,3,131,"Kevin Gausman",14107,592332
"José Soriano","- - -",9,6,3.2428198594913527,23,23,8,0,0,0,0,0,127.2,531,101,51,46,12,60,1,4,1,0,130,"Jose Soriano",22100,667755
"Drew Rasmussen","TBR",11,5,2.750670353812061,22,22,13,0,0,0,0,0,124.1,485,91,40,38,12,22,0,6,3,0,130,"Drew Rasmussen",25385,656876
"Aaron Nola","PHI",3,9,5.472000333984395,24,24,7,0,0,0,0,0,125,544,138,78,76,29,43,2,1,2,0,129,"Aaron Nola",16149,605400
"Joey Cantillo","CLE",8,7,3.8679776109840653,24,24,4,0,0,0,0,0,118.2,516,118,60,51,15,56,0,2,5,0,129,"Joey Cantillo",23335,676282
"Sandy Alcantara","MIA",13,6,3.519348487580433,25,25,18,1,1,0,0,0,163.2,674,150,69,64,17,42,0,7,1,2,128,"Sandy Alcantara",18684,645261
"Bryan Woo","SEA",8,8,4.311518496828668,22,22,12,0,0,0,0,0,127.1,523,115,65,61,13,27,1,6,2,1,127,"Bryan Woo",30279,693433
"Yoshinobu Yamamoto","LAD",11,7,2.648325455526889,21,21,16,1,0,0,0,0,139.1,533,92,42,41,15,32,1,4,2,0,127,"Yoshinobu Yamamoto",33825,808967
"Shota Imanaga","CHC",8,9,3.595477662626308,23,23,10,0,0,0,0,0,132.2,533,116,54,53,25,29,0,3,4,0,125,"Shota Imanaga",33829,684007
"Landen Roupp","SFG",7,11,4.221024345562965,23,23,10,0,0,0,0,0,123.2,522,103,62,58,9,57,0,4,1,0,123,"Landen Roupp",30076,694738
"Foster Griffin","- - -",12,4,3.3075001261711168,23,23,12,0,0,0,0,0,133.1,545,116,54,49,21,32,0,8,3,1,122,"Foster Griffin",16432,656492
"Kyle Bradish","BAL",7,11,3.6850393700787403,23,23,11,0,0,0,0,0,127,535,116,59,52,13,54,1,3,9,0,121,"Kyle Bradish",24586,680694
"Michael King","SDP",7,8,3.366748291864308,24,24,11,0,0,0,0,0,136.1,559,105,52,51,15,55,0,9,2,1,120,"Michael King",19853,650633
"Shane Baz","BAL",4,11,3.7628363262012856,23,23,10,1,0,0,0,0,136.1,579,134,67,57,10,46,1,3,5,0,120,"Shane Baz",22264,669358
"Freddy Peralta","- - -",5,9,5.369318327289233,23,23,4,0,0,0,0,0,117.1,531,129,78,70,19,49,0,5,7,0,116,"Freddy Peralta",18679,642547
"Noah Cameron","KCR",6,8,4.366576909203068,22,21,7,0,0,0,0,0,123.2,527,119,65,60,14,40,1,3,3,0,116,"Noah Cameron",30184,702070
"Michael Wacha","KCR",5,8,3.4375,23,23,15,0,0,0,0,0,144,585,125,59,55,17,41,1,5,4,0,112,"Michael Wacha",14078,608379
"George Kirby","SEA",8,9,3.6818181818181817,22,22,13,1,0,0,0,0,132,543,140,58,54,16,28,0,3,1,0,112,"George Kirby",25436,669923
"Tanner Bibee","CLE",4,11,3.847826086956522,24,24,14,0,0,0,0,0,138,559,118,62,59,23,38,0,4,2,0,110,"Tanner Bibee",30134,676440
"Robbie Ray","- - -",10,7,3.2428199806112277,23,22,9,0,0,0,0,0,127.2,537,108,54,46,16,62,0,1,5,0,109,"Robbie Ray",11486,592662
"Davis Martin","CHW",9,6,4.131147540983607,22,22,10,0,0,0,0,0,122,513,123,56,56,10,37,0,7,7,1,107,"Davis Martin",21448,663436
"Sonny Gray","BOS",14,2,2.7827298641519334,21,21,14,0,0,0,0,0,119.2,484,106,38,37,12,32,0,4,0,1,106,"Sonny Gray",12768,543243
"Seth Lugo","KCR",5,7,4.410891422301296,24,24,14,0,0,0,0,0,134.2,572,139,74,66,16,46,0,6,2,1,104,"Seth Lugo",12447,607625
"Bryce Elder","ATL",8,6,3.6947369162858044,22,22,13,0,0,0,0,0,126.2,529,110,58,52,19,42,0,2,1,0,104,"Bryce Elder",27779,693821
"Framber Valdez","DET",7,7,4.170157234637564,23,23,12,0,0,0,0,0,127.1,558,129,65,59,12,45,0,12,3,0,103,"Framber Valdez",17295,664285
"Logan Webb","SFG",7,7,3.744,20,20,13,1,0,0,0,0,125,510,108,55,52,9,31,0,6,1,0,101,"Logan Webb",17995,657277
"Andrew Abbott","CIN",6,7,3.9170987552859255,24,24,10,0,0,0,0,0,128.2,555,118,60,56,17,61,0,0,0,0,99,"Andrew Abbott",29911,671096
"Anthony Kay","CHW",9,5,3.956896584255092,24,22,5,0,0,0,0,0,116,519,113,55,51,15,43,0,21,4,2,94,"Anthony Kay",20387,641743
"Eduardo Rodriguez","ARI",10,4,2.706601567969346,23,23,14,0,0,0,0,0,136.1,562,124,45,41,13,45,0,0,0,1,92,"Eduardo Rodriguez",13164,593958
"Justin Wrobleski","LAD",11,3,3.3076923076923075,19,18,12,0,0,0,0,0,117,472,101,43,43,16,24,0,4,1,0,91,"Justin Wrobleski",31204,680736
"Colin Rea","CHC",8,8,4.586301465727955,24,19,5,0,0,1,0,0,121.2,527,123,64,62,19,43,0,7,1,1,90,"Colin Rea",12317,607067
"Andre Pallante","STL",12,6,3.629032258064516,22,22,8,0,0,0,0,0,124,517,114,52,50,10,37,0,6,5,0,90,"Andre Pallante",26108,669467
"Keider Montero","DET",8,7,3.3841962204623544,25,19,8,0,0,1,0,0,122.1,492,96,50,46,13,28,2,5,1,0,86,"Keider Montero",22630,672456
"Michael McGreevy","STL",4,9,3.5900278525747304,22,22,13,0,0,0,0,0,120.1,487,114,49,48,16,30,0,0,2,0,81,"Michael McGreevy",29869,700241
"Merrill Kelly","ARI",8,9,4.875,21,21,7,1,0,0,0,0,120,519,126,68,65,23,50,2,3,0,1,80,"Merrill Kelly",11156,518876
"Nick Martinez","TBR",11,3,2.6511627906976742,22,22,11,0,0,0,0,0,129,519,122,38,38,15,20,0,3,2,0,73,"Nick Martinez",12730,607259
