Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Will Klein","LAD",-0.5682518668472767,-4.330905973911285,3.7626542150974274,-1.9449999332427979,-0.1961696445941925,1.2280731346401466,1.0793414115905762,1.2299610873063405,1.376918736845255,32,-0.02703963965177536,-0.4356786226557764,9,9,"Will Klein",27787,694361
"Jack Dreyer","LAD",0.3665042631328106,-2.630929946899414,2.99743415042758,10.095999419689178,0.9924172200262547,0.8484736784508354,0.8005400071541469,0.9925708100199699,0.9305600047111511,35,1.2421296760439873,-0.8101725364872443,11,9,"Jack Dreyer",30249,676263
"Tanner Scott","LAD",1.883188009262085,-3.9465980529785156,5.8297858238220215,7.7820000648498535,0.7958353757858276,1.5893311500549316,1.5469383001327515,1.6443519592285156,1.2033333778381348,27,0.963704526424408,0.2211888856231674,24,7,"Tanner Scott",17586,656945
"Edgardo Henriquez","LAD",1.1471802592277527,-1.9113659858703613,3.058546245098114,5.234000205993652,0.5449340380728245,0.8090874349052583,0.8019506401485867,0.8673421992195978,0.8648922703205011,39,0.799130467697978,0.6187388622862209,11,5,"Edgardo Henriquez",26944,683618
"Justin Wrobleski","LAD",1.951210379600525,-6.072474032640457,8.0236846357584,18.919399559497833,1.8640287891030312,0.8699710690250436,0.8459008611550852,0.8824210857090197,0.733211100101471,18,1.307933397591114,0.934911737232968,0,1,"Justin Wrobleski",31204,680736
"Eric Lauer","LAD",0.7240699827671051,-3.2183359786868095,3.9424059987068176,5.278599739074707,0.527146577835083,0.9214405350644013,0.9249999962354961,0.8842400014400482,0.9279999792575836,10,0.003046005964279175,0.7827561757429738,1,0,"Eric Lauer",19316,641778
"Shohei Ohtani","LAD",2.239506244659424,-4.1755876541137695,6.415093898773193,22.5226993560791,2.3298604488372803,0.992095410823822,0.9384163022041321,0.8740143179893494,1.0642000436782837,14,1.992651104927063,0.2646985614722297,0,0,"Shohei Ohtani",19755,660271
"Emmet Sheehan","LAD",-1.204573631286621,-7.827243804931641,6.622670650482178,-6.847099781036377,-0.7178882956504822,0.9345242381095886,0.9128369092941284,0.8765000104904175,1.1512399911880493,20,-0.914941132068634,-0.3740287867034082,0,0,"Emmet Sheehan",29839,686218
"Yoshinobu Yamamoto","LAD",1.997340440750122,-6.956692218780518,8.954031944274902,25.798900604248047,2.673553943634033,0.886445939540863,0.8682279586791992,0.8705714344978333,1.0185400247573853,20,3.070934772491455,-0.8177342650982466,0,0,"Yoshinobu Yamamoto",33825,808967
"Roki Sasaki","LAD",-0.6819995641708374,-8.074631690979004,7.392632484436035,-5.695499897003174,-0.5795050263404846,0.9245310425758362,0.9039375185966492,0.8700000047683716,1.3976999521255493,20,-0.7453368306159973,0.007666019400488278,0,0,"Roki Sasaki",35323,808963
