pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,year,is_swing,is_whiff,is_strike
KC,2024-10-30,78.7,-1.25,5.79,"Buehler, Walker",669224,621111,,called_strike,,,,,8.0,,W,L,R,NYY,LAD,S,,,0,0,2024,1.07,-1.52,-0.2031781156753638,1.843760510344512,,,,1,9,Bot,,,,,,,0.2900659318947948,-114.3823809583052,1.280005409020854,9.12045006555734,26.24798937976996,-45.84148827856999,3.34424680176383,1.61998556370578,,,,77.8,2653.0,6.2,775296,669257,518692,666158,571970,669242,621035,571771,605141,54.25,,,,,,,,88,1,Knuckle Curve,6,7,6,7,7,6,6,7,Standard,Standard,30.0,-0.01,-0.037,,,,,0.037,,-1,-1,0.115,0.115,29,24,30,25,1,4,2.0,1.0,,,5.29,-1.07,1.07,53.4,,,,,,2024,False,False,True
KC,2024-10-30,77.6,-1.08,5.75,"Buehler, Walker",683011,621111,field_out,hit_into_play,,,,,2.0,"Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",W,R,R,NYY,LAD,X,5.0,ground_ball,2,2,2024,1.08,-1.47,0.0541352132895261,2.9659004521194516,,,,0,9,Bot,91.48,156.96,,,,,0.4541914634102653,-112.82614160696178,3.851146754254107,8.970524569823587,25.00066949886617,-45.6513130064518,3.39,1.62,13.0,92.4,-13.0,77.1,2495.0,6.5,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.99,0.157,0.147,0.0,1.0,0.0,0.0,2.0,87,5,Knuckle Curve,6,7,6,7,7,6,6,7,Standard,Standard,35.0,-0.076,-0.227,73.4,7.6,,0.179,0.227,92.4,-1,-1,0.191,0.191,29,23,30,23,1,4,2.0,1.0,,,5.33,-1.08,-1.08,53.9,16.663535882664913,-14.289227240893178,22.537581357415338,37.69632445546555,36.717750263486835,2024,True,False,True
FF,2024-10-30,96.7,-1.0,5.76,"Buehler, Walker",683011,621111,,ball,,,,,12.0,,W,R,R,NYY,LAD,B,,,1,2,2024,-0.39,1.51,1.770780167715225,3.0654515088696543,,,,0,9,Bot,,,,,,,8.29284536836559,-140.44984557240872,-5.048075871503193,-7.071728378945594,33.49513636656923,-11.201885531839018,3.38999352937993,1.62606657571537,,,,96.8,2334.0,6.6,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.93,,,,,,,,87,4,4-Seam Fastball,6,7,6,7,7,6,6,7,Standard,Standard,202.0,0.014,0.04,,,,,-0.04,,-1,-1,0.177,0.177,29,23,30,23,1,4,2.0,1.0,,,0.94,0.39,0.39,52.8,,,,,,2024,False,False,False
KC,2024-10-30,78.3,-1.06,5.74,"Buehler, Walker",683011,621111,,foul,,,,,13.0,,W,R,R,NYY,LAD,S,,,1,1,2024,0.84,-1.41,-0.0764147681795776,1.4865193300362245,,,,0,9,Bot,,,,,,,0.5577365182518654,-113.87848195496127,0.4617303002135924,7.0815234705770855,25.685605716568105,-44.59405278118342,3.39,1.62,1.0,49.7,-69.0,78.0,2535.0,6.6,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.88,,,,,,,,87,3,Knuckle Curve,6,7,6,7,7,6,6,7,Standard,Standard,28.0,-0.023,-0.056,65.4,8.4,,,0.056,88.0,-1,-1,0.2,0.2,29,23,30,23,1,4,2.0,1.0,,,5.2,-0.84,-0.84,52.1,22.88375032828888,-29.956936144940062,33.49890088119248,36.9399550414865,50.89723414288986,2024,True,False,True
SI,2024-10-30,94.9,-1.42,5.39,"Buehler, Walker",683011,621111,,called_strike,,,,,9.0,,W,R,R,NYY,LAD,S,,,1,0,2024,-1.18,1.0,0.6049931339979482,1.9021897461829769,,,,0,9,Bot,,,,,,,7.972473596420381,-137.86379220554954,-5.671677168398845,-16.90144902169732,32.08007087025426,-18.353293472717,3.26699269333653,1.52241778820387,,,,95.1,2143.0,6.6,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.9,,,,,,,,87,2,Sinker,6,7,6,7,7,6,6,7,Standard,Standard,213.0,-0.017,-0.049,,,,,0.049,,-1,-1,0.217,0.217,29,23,30,23,1,4,2.0,1.0,,,1.55,1.18,1.18,39.0,,,,,,2024,False,False,True
FF,2024-10-30,96.1,-1.25,5.67,"Buehler, Walker",683011,621111,,ball,,,,,14.0,,W,R,R,NYY,LAD,B,,,0,0,2024,-0.28,1.58,1.5116565355137197,0.6117569517059496,,,,0,9,Bot,,,,,,,7.961376646558754,-139.21882867648728,-11.330100866320956,-5.582297867068663,33.60497585987421,-9.097818148849097,3.2927475628832,1.60015828977926,,,,95.9,2482.0,6.6,775296,669257,518692,666158,571970,669242,621035,571771,605141,53.9,,,,,,,,87,1,4-Seam Fastball,6,7,6,7,7,6,6,7,Standard,Standard,205.0,0.013,0.038,,,,,-0.038,,-1,-1,0.204,0.204,29,23,30,23,1,4,2.0,1.0,,,0.92,0.28,0.28,48.1,,,,,,2024,False,False,False
FF,2024-10-28,94.8,-1.31,5.58,"Buehler, Walker",657077,621111,field_out,hit_into_play,,,,,5.0,Alex Verdugo lines out sharply to right fielder Mookie Betts.,W,L,R,NYY,LAD,X,9.0,line_drive,2,1,2024,-0.41,1.55,0.2392668676268881,2.389839487999285,,,,2,5,Bot,163.61,70.46,,,,,4.987826175688,-137.842142981353,-6.092027369225743,-6.418961998647721,33.7707973773222,-11.247954373713664,3.45,1.56,332.0,102.0,18.0,94.7,2354.0,6.5,775298,669257,518692,666158,571970,669242,606192,571771,605141,54.02,0.426,0.495,0.0,1.0,0.0,0.0,5.0,41,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,202.0,-0.012,-0.303,69.9,6.1,,0.758,0.303,102.0,-3,-3,0.149,0.149,29,28,30,28,2,1,12.0,2.0,2.0,1.0,1.01,0.41,-0.41,45.2,2.0406747744522633,0.034835838480522,35.15074877250467,28.87111644300348,32.77342156596054,2024,True,False,True
KC,2024-10-28,78.5,-1.06,5.71,"Buehler, Walker",657077,621111,,ball,,,,,14.0,,W,L,R,NYY,LAD,B,,,1,1,2024,1.28,-1.31,0.4513921035803279,0.1320094529499584,,,,2,5,Bot,,,,,,,0.893334746493474,-114.11300671823489,-2.596918374555503,10.7440036708649,26.813606696892325,-43.03114533984102,3.22172762179004,1.41724534418123,,,,78.0,2472.0,6.7,775298,669257,518692,666158,571970,669242,606192,571771,605141,53.85,,,,,,,,41,3,Knuckle Curve,0,3,0,3,3,0,0,3,Infield shade,Standard,27.0,0.002,0.058,,,,,-0.058,,-3,-3,0.147,0.147,29,28,30,28,2,1,12.0,2.0,2.0,1.0,5.1,-1.28,1.28,52.8,,,,,,2024,False,False,False
FC,2024-10-28,91.4,-1.09,5.58,"Buehler, Walker",657077,621111,,foul,,,,,14.0,,W,L,R,NYY,LAD,S,,,1,0,2024,0.37,0.89,0.8837707999508997,2.0487865507642136,,,,2,5,Bot,,,,,,,4.209805601288678,-132.96931950473714,-4.963823992463447,3.455501529786956,29.02672307977898,-20.73800543929227,3.45,1.56,4.0,80.1,-29.0,92.1,2352.0,6.8,775298,669257,518692,666158,571970,669242,606192,571771,605141,53.75,,,,,,,,41,2,Cutter,0,3,0,3,3,0,0,3,Infield shade,Standard,172.0,-0.002,-0.051,72.3,7.3,,,0.051,88.0,-3,-3,0.149,0.149,29,28,30,28,2,1,12.0,2.0,2.0,1.0,1.84,-0.37,0.37,51.3,24.50385242414267,-28.47052330666233,33.07356000436398,21.360606631416157,44.29620350457101,2024,True,False,True
FF,2024-10-28,95.5,-1.39,5.51,"Buehler, Walker",657077,621111,,ball,,,,,14.0,,W,L,R,NYY,LAD,B,,,0,0,2024,-0.57,1.51,1.2477651170006316,0.2565423307063973,,,,2,5,Bot,,,,,,,8.240013222377934,-138.3954255122815,-11.519611117454716,-9.262475353258203,33.686330050946836,-10.260516677609898,3.35045338846918,1.46039597652788,,,,95.2,2376.0,6.5,775298,669257,518692,666158,571970,669242,606192,571771,605141,53.96,,,,,,,,41,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,205.0,0.001,0.04,,,,,-0.04,,-3,-3,0.148,0.148,29,28,30,28,2,1,12.0,2.0,2.0,1.0,1.03,0.57,-0.57,43.1,,,,,,2024,False,False,False
